id,serviceType,subscriptionType,bd,location,spending,status,serviceRate,signUpDate
54,TV,Standard,2014-02-04,Kropyvnytskyi,100,Active,4,2009-10-07
55,Mobile,Premium,1939-05-24,Kyiv,100,Active,3,2005-02-25
56,Fixed Line,Special,2020-07-12,Ivano-Frankivsk,200,Active,3,2008-03-03
57,Mobile,Economy,1946-06-24,Mykolaiv,100,Inactive,3,2003-07-20
58,Internet,Economy,2012-10-17,Kyiv,50,Active,3,2001-06-04
59,Mobile,Business,2003-04-29,Zaporizhzhia,300,Active,2,2003-01-26
60,Mobile,Standard,2019-11-06,Mykolaiv,200,Active,5,2002-08-18
61,Mobile,Standard,2020-12-27,Vinnytsia,100,Active,3,2002-03-20
62,Mobile,Standard,2007-08-20,Kyiv,300,Inactive,4,2001-04-21
63,Mobile,Premium,1985-12-10,Chernihiv,300,Active,1,2007-10-18
64,Mobile,Premium,2014-05-30,Kyiv,200,Inactive,2,2000-06-29
65,Mobile,Business,2000-05-18,Mykolaiv,50,Inactive,5,2011-12-19
66,Internet,Standard,2014-01-22,Kyiv,700,Potential,5,2001-01-19
67,Mobile,Economy,2009-07-13,Kyiv,300,Active,5,2021-05-21
68,Internet,Standard,1958-02-19,Odesa,100,Active,4,2024-06-08
69,Mobile,Standard,1969-12-22,Poltava,300,Active,2,2002-10-13
70,TV,Standard,2003-02-18,Kropyvnytskyi,200,Potential,2,2024-02-20
71,TV,Standard,2015-07-23,Kyiv,300,Inactive,4,2011-02-18
72,Mobile,Economy,2017-02-15,Kyiv,200,Active,5,2000-06-21
73,Internet,Standard,1938-08-25,Dnipro,200,Potential,5,2016-02-13
74,Mobile,Standard,2016-10-19,Mykolaiv,300,Inactive,3,2000-03-27
75,TV,Premium,1977-10-18,Kharkiv,300,Potential,3,2001-02-05
76,Internet,Standard,2010-05-25,Odesa,50,Active,2,2004-10-23
77,Mobile,Economy,1928-01-01,Vinnytsia,50,Inactive,5,2000-06-17
78,Mobile,Standard,2010-06-07,Odesa,200,Inactive,3,2000-12-18
79,Mobile,Premium,2011-02-22,Dnipro,200,Active,4,2016-10-19
80,Mobile,Standard,1995-03-23,Odesa,100,Potential,5,2028-09-05
81,Internet,Standard,1933-10-25,Mykolaiv,300,Active,5,2008-10-05
82,Mobile,Standard,1928-01-01,Khmelnytskyi,100,Active,2,2003-12-19
83,Mobile,Economy,1989-05-17,Ternopil,300,Inactive,1,2012-08-16
84,Mobile,Premium,1984-07-16,Kharkiv,300,Active,5,2000-08-25
85,Mobile,Economy,2000-04-24,Kharkiv,100,Inactive,4,2015-09-04
86,Mobile,Standard,1984-05-29,Kyiv,300,Active,5,2002-05-16
87,TV,Economy,1969-03-20,Ternopil,900,Active,3,2010-10-28
88,Mobile,Economy,2004-10-10,Zaporizhzhia,100,Active,5,2006-01-16
89,Internet,Standard,1996-07-09,Zhytomyr,700,Active,5,2017-08-30
90,Mobile,Standard,2001-11-25,Lviv,300,Inactive,5,2010-12-14
91,Mobile,Premium,2000-05-15,Ternopil,200,Active,3,2011-12-25
92,Internet,Premium,1962-07-23,Chernihiv,50,Active,3,2005-06-21
93,Mobile,Premium,2010-12-21,Odesa,300,Active,3,2009-10-21
94,Mobile,Standard,2016-08-11,Cherkasy,200,Inactive,5,2007-10-01
95,Internet,Standard,2006-04-27,Khmelnytskyi,300,Active,3,2000-12-18
96,Mobile,Standard,2016-08-12,Khmelnytskyi,500,Inactive,2,2005-09-22
97,Mobile,Standard,2004-02-11,Uzhhorod,200,Active,3,2000-11-16
98,Internet,Standard,1958-12-26,Kyiv,100,Active,5,2011-02-24
99,Internet,Business,1996-09-11,Zhytomyr,100,Inactive,5,2000-05-16
100,Mobile,Economy,1970-01-19,Cherkasy,100,Active,5,2023-10-19
101,Mobile,Business,2018-01-10,Odesa,500,Active,4,2002-10-20
102,Mobile,Economy,1959-09-21,Lviv,100,Inactive,5,2001-01-09
103,Mobile,Economy,1997-10-17,Kyiv,200,Active,2,2015-01-09
104,Internet,Economy,2022-02-13,Kyiv,200,Inactive,5,2000-04-02
105,TV,Standard,1995-07-20,Ternopil,500,Inactive,4,2003-06-24
106,TV,Economy,1940-03-17,Lviv,200,Active,4,2008-01-20
107,Mobile,Business,2020-09-29,Kyiv,900,Active,2,2002-01-31
108,Mobile,Business,1999-02-03,Dnipro,300,Active,1,2004-02-14
109,Internet,Standard,1955-05-11,Kharkiv,500,Potential,3,2006-08-07
110,Mobile,Standard,2022-09-26,Kyiv,50,Potential,3,2016-08-16
111,Fixed Line,Business,1995-09-18,Kyiv,100,Active,4,2000-08-04
112,Fixed Line,Business,2005-05-14,Lviv,100,Active,2,2000-12-08
113,TV,Standard,2011-05-03,Chernihiv,200,Active,2,2003-11-23
114,Mobile,Premium,1995-12-18,Kyiv,300,Active,5,2002-12-20
115,Mobile,Standard,2021-07-09,Vinnytsia,100,Active,5,2002-11-23
116,TV,Standard,1984-09-16,Kyiv,100,Inactive,5,2001-12-05
117,Internet,Economy,2022-11-18,Lviv,300,Potential,5,2004-07-03
118,TV,Standard,2012-12-18,Dnipro,100,Potential,5,2011-10-06
119,Mobile,Economy,2003-10-23,Kyiv,200,Active,5,2000-12-16
120,Internet,Economy,2010-01-17,Kyiv,50,Potential,5,2001-04-29
121,Internet,Standard,2012-12-10,Odesa,300,Inactive,3,2006-01-31
122,Mobile,Special,1974-05-10,Odesa,200,Active,3,2000-04-25
123,Internet,Special,1948-03-28,Ternopil,300,Active,3,2006-02-18
124,Internet,Standard,1966-05-09,Kyiv,100,Inactive,5,2002-01-25
125,Mobile,Standard,2002-10-08,Rivne,100,Potential,5,2002-06-04
126,Mobile,Economy,1963-12-27,Mykolaiv,500,Active,4,2002-11-06
127,Internet,Standard,1953-07-22,Ternopil,300,Active,1,2002-05-10
128,Mobile,Economy,2008-08-04,Odesa,200,Active,3,2010-01-28
129,TV,Economy,2013-11-16,Mykolaiv,300,Potential,5,2015-12-28
130,Mobile,Standard,2020-03-03,Lviv,50,Potential,4,2004-05-07
131,Mobile,Economy,2005-02-23,Kyiv,500,Active,4,2004-10-09
132,IoT,Economy,1942-12-10,Kyiv,300,Active,3,2000-05-26
133,TV,Business,2000-06-20,Khmelnytskyi,200,Potential,4,2006-11-02
134,Mobile,Economy,1992-11-06,Odesa,700,Inactive,5,2004-10-20
135,Fixed Line,Economy,2019-09-22,Khmelnytskyi,100,Potential,5,2000-04-13
136,Mobile,Economy,2018-10-05,Odesa,300,Inactive,1,2001-03-18
137,Mobile,Economy,2005-11-26,Zhytomyr,900,Active,4,2001-03-27
138,Mobile,Economy,1940-04-13,Zhytomyr,200,Inactive,3,2001-01-09
139,Mobile,Premium,2010-10-01,Khmelnytskyi,50,Active,4,2005-11-19
140,TV,Economy,1965-07-09,Kharkiv,300,Inactive,4,2014-06-10
141,Fixed Line,Business,2019-06-30,Rivne,50,Active,3,2007-11-19
142,IoT,Economy,1996-09-22,Chernivtsi,500,Potential,5,2003-07-21
143,Fixed Line,Standard,1997-11-15,Odesa,50,Potential,4,2002-11-01
144,Mobile,Standard,1969-03-13,Dnipro,300,Active,5,2002-09-04
145,Internet,Standard,2022-11-29,Uzhhorod,200,Active,1,2005-01-12
146,IoT,Standard,2017-03-27,Odesa,100,Active,3,2002-06-09
147,Fixed Line,Business,2016-03-18,Ternopil,500,Inactive,5,2001-05-27
148,Fixed Line,Economy,1941-01-01,Kyiv,300,Inactive,5,2005-01-20
149,TV,Standard,2018-06-08,Kharkiv,200,Potential,4,2002-09-17
150,Mobile,Business,2021-12-21,Kyiv,100,Active,5,2000-01-29
151,Fixed Line,Economy,2002-01-26,Odesa,300,Active,4,2000-02-14
152,TV,Economy,2002-06-01,Lviv,500,Active,4,2001-10-02
153,IoT,Economy,1972-02-16,Mykolaiv,300,Active,5,2003-12-07
154,Mobile,Standard,1941-08-08,Lviv,300,Active,4,2002-05-24
155,Internet,Economy,2001-10-30,Mykolaiv,100,Potential,4,2000-02-18
156,Internet,Economy,1950-03-14,Sumy,500,Active,5,2001-05-20
157,Mobile,Standard,1987-08-23,Kharkiv,300,Inactive,4,2000-07-21
158,Internet,Standard,2014-08-04,Lviv,200,Active,3,2016-04-03
159,Mobile,Economy,1950-10-22,Lviv,200,Active,3,2002-01-20
160,Mobile,Economy,1992-11-10,Kharkiv,200,Active,4,2000-01-30
161,Mobile,Standard,2008-05-14,Kyiv,500,Active,2,2005-11-30
162,Internet,Business,1991-10-15,Vinnytsia,300,Potential,5,2001-06-13
163,Mobile,Standard,2008-12-15,Chernivtsi,500,Active,3,2004-07-30
164,Mobile,Premium,2019-09-07,Kyiv,200,Active,3,2000-11-22
165,Mobile,Economy,1988-04-01,Zaporizhzhia,300,Inactive,4,2022-08-24
166,Mobile,Economy,1975-06-05,Kropyvnytskyi,500,Potential,5,2019-04-01
167,Mobile,Standard,1987-04-11,Rivne,100,Active,5,2005-11-04
168,Mobile,Business,2015-11-17,Rivne,200,Active,4,2006-09-22
169,Internet,Standard,1937-01-31,Mykolaiv,300,Active,5,2003-01-14
170,Fixed Line,Business,2022-04-21,Odesa,700,Active,4,2017-12-06
171,Mobile,Special,2011-12-06,Zhytomyr,50,Active,4,2003-01-07
172,Mobile,Economy,2014-10-03,Chernivtsi,100,Potential,5,2001-07-01
173,Fixed Line,Economy,2021-08-26,Kharkiv,100,Active,3,2000-09-02
174,Mobile,Economy,2008-10-02,Odesa,200,Active,5,2001-04-11
175,IoT,Economy,1996-04-14,Dnipro,100,Active,4,2004-08-25
176,Fixed Line,Economy,1964-05-13,Odesa,200,Inactive,5,2001-07-16
177,Mobile,Business,1928-01-01,Lviv,500,Active,3,2005-10-25
178,Mobile,Economy,1977-10-22,Poltava,300,Active,5,2002-08-21
179,Internet,Economy,2005-09-09,Vinnytsia,100,Active,5,2011-12-07
180,Mobile,Economy,1987-10-15,Kharkiv,500,Active,4,2004-06-23
181,Mobile,Business,1972-03-15,Kyiv,300,Active,4,2005-05-02
182,Mobile,Standard,2005-11-11,Sumy,100,Active,5,2004-06-14
183,Fixed Line,Business,1980-11-29,Kyiv,200,Active,4,2011-11-14
184,Internet,Special,2004-12-16,Kyiv,300,Active,4,2000-05-11
185,Mobile,Standard,2009-08-17,Poltava,300,Active,5,2000-05-19
186,Internet,Economy,2002-07-23,Dnipro,200,Potential,3,2006-08-16
187,Mobile,Economy,1992-02-28,Kyiv,100,Active,3,2007-12-31
188,Internet,Economy,1987-06-21,Odesa,500,Inactive,5,2003-02-10
189,Mobile,Premium,2010-12-03,Sumy,200,Active,2,2002-05-18
190,Internet,Economy,1999-10-24,Poltava,300,Inactive,5,2001-10-13
191,IoT,Economy,1957-02-11,Dnipro,300,Active,4,2001-06-18
192,Mobile,Standard,1928-01-01,Lviv,100,Active,4,2013-04-21
193,Mobile,Standard,2015-12-12,Poltava,100,Inactive,3,2001-11-30
194,Mobile,Standard,2017-02-19,Zhytomyr,100,Inactive,5,2005-09-19
195,Mobile,Economy,1992-02-02,Cherkasy,100,Potential,5,2008-06-20
196,Mobile,Business,2008-05-03,Mykolaiv,100,Inactive,4,2000-02-14
197,TV,Standard,2022-05-01,Kharkiv,300,Active,4,2000-03-09
198,TV,Economy,2011-05-05,Uzhhorod,200,Active,3,2002-03-21
199,Mobile,Premium,1977-12-31,Zhytomyr,200,Active,5,2006-07-09
200,Internet,Special,1979-04-16,Sumy,300,Active,4,2001-08-27
201,Internet,Economy,2004-04-25,Zhytomyr,500,Inactive,3,2000-01-03
202,Internet,Economy,2005-06-27,Kharkiv,700,Active,5,2001-11-10
203,Mobile,Standard,1999-04-14,Zhytomyr,100,Potential,5,2000-07-07
204,Mobile,Economy,2016-03-22,Poltava,200,Active,2,2001-05-10
205,Mobile,Business,2002-07-24,Zhytomyr,50,Active,5,2002-03-21
206,Mobile,Economy,2022-09-12,Kyiv,100,Active,5,2000-10-01
207,Fixed Line,Premium,2005-05-01,Cherkasy,300,Active,5,2006-09-16
208,Fixed Line,Standard,2011-10-16,Rivne,200,Inactive,3,2001-08-14
209,Mobile,Standard,1992-03-29,Kyiv,300,Potential,4,2005-12-04
210,Mobile,Economy,1995-02-27,Cherkasy,200,Active,5,2005-01-01
211,TV,Economy,2009-11-17,Mykolaiv,100,Inactive,2,2012-07-02
212,Internet,Economy,2022-10-21,Odesa,500,Active,4,2000-07-03
213,TV,Economy,2015-01-16,Dnipro,50,Potential,4,2001-04-28
214,Mobile,Economy,1995-07-14,Vinnytsia,100,Active,4,2010-12-21
215,Internet,Business,2020-12-11,Kharkiv,100,Active,3,2009-06-15
216,Internet,Economy,2019-11-20,Kyiv,900,Active,5,2001-03-02
217,TV,Premium,1994-06-29,Kyiv,200,Active,3,2000-08-15
218,Mobile,Standard,1984-05-29,Kyiv,200,Active,4,2010-08-15
219,Mobile,Premium,2012-05-19,Odesa,300,Active,4,2001-01-27
220,Mobile,Special,2004-08-01,Lviv,300,Active,3,2011-03-21
221,TV,Economy,1943-03-28,Ternopil,500,Active,3,2017-10-12
222,TV,Business,1943-04-28,Zaporizhzhia,200,Inactive,5,2001-05-13
223,IoT,Standard,2012-12-10,Ternopil,900,Inactive,4,2010-01-18
224,IoT,Business,1977-07-15,Kyiv,300,Inactive,4,2003-01-07
225,Mobile,Standard,1998-04-30,Kharkiv,200,Active,5,2008-07-06
226,Mobile,Standard,1928-01-01,Odesa,200,Active,2,2002-11-12
227,Mobile,Economy,2005-03-23,Rivne,700,Active,5,2000-05-25
228,Mobile,Economy,1982-03-14,Uzhhorod,300,Active,3,2006-10-30
229,TV,Standard,1982-12-26,Rivne,300,Active,5,2000-11-22
230,TV,Special,2004-03-01,Kyiv,300,Active,2,2014-05-02
231,Mobile,Premium,1979-07-13,Ivano-Frankivsk,200,Active,5,2002-12-17
232,Internet,Economy,2014-09-20,Vinnytsia,100,Active,5,2000-06-20
233,TV,Business,2019-06-08,Mykolaiv,200,Active,4,2001-06-02
234,Mobile,Premium,2007-11-05,Kharkiv,200,Potential,4,2010-11-12
235,Mobile,Economy,1944-04-07,Vinnytsia,50,Potential,2,2002-02-13
236,Mobile,Economy,2003-12-26,Kyiv,200,Active,5,2010-08-16
237,Mobile,Economy,1995-05-23,Cherkasy,300,Active,2,2001-01-13
238,Internet,Business,1996-03-18,Odesa,100,Potential,4,2003-06-17
239,Mobile,Business,2019-02-09,Kyiv,50,Potential,3,2011-07-13
240,Mobile,Economy,2009-06-16,Kyiv,500,Inactive,5,2000-04-09
241,IoT,Economy,1989-05-26,Chernivtsi,300,Active,4,2001-12-26
242,Internet,Premium,1928-01-01,Odesa,100,Active,2,2013-03-05
243,Mobile,Business,2017-12-19,Rivne,500,Active,5,2004-12-20
244,IoT,Premium,2008-07-15,Chernivtsi,300,Inactive,5,2006-11-24
245,Mobile,Standard,2020-04-07,Chernivtsi,200,Inactive,4,2010-02-08
246,Mobile,Economy,2015-05-28,Zhytomyr,200,Active,4,2004-01-22
247,TV,Standard,2010-01-21,Zhytomyr,100,Active,3,2010-03-22
248,Mobile,Economy,2001-09-14,Odesa,500,Active,2,2005-07-29
249,Fixed Line,Business,2015-10-29,Kyiv,200,Inactive,3,2006-05-03
250,Mobile,Economy,2015-12-07,Poltava,200,Inactive,4,2000-11-27
251,Mobile,Business,1981-10-25,Kharkiv,500,Active,5,2015-04-26
252,Internet,Economy,1933-01-02,Kyiv,50,Active,5,2008-09-15
253,Mobile,Business,2012-04-19,Chernihiv,50,Active,5,2001-08-09
254,Fixed Line,Economy,1991-02-11,Vinnytsia,100,Inactive,2,2004-09-30
255,Internet,Standard,2014-10-30,Rivne,50,Inactive,5,2002-08-02
256,TV,Standard,1950-12-26,Zaporizhzhia,300,Active,4,2005-11-29
257,Fixed Line,Economy,1992-05-29,Zaporizhzhia,300,Active,4,2027-10-15
258,Mobile,Business,1978-07-27,Kharkiv,100,Active,4,2000-04-03
259,TV,Standard,2021-08-13,Kharkiv,100,Active,1,2016-09-08
260,Internet,Standard,1998-01-07,Chernivtsi,100,Active,2,2000-05-30
261,Internet,Business,2002-06-21,Kyiv,900,Active,4,2003-05-20
262,TV,Business,2013-07-05,Kharkiv,300,Inactive,3,2003-08-08
263,Internet,Standard,2014-09-02,Cherkasy,200,Inactive,4,2001-09-17
264,Mobile,Business,1999-04-02,Kharkiv,200,Active,4,2004-07-30
265,Internet,Economy,1989-06-10,Odesa,200,Active,5,2009-10-31
266,Mobile,Economy,2022-01-29,Odesa,50,Active,5,2001-11-27
267,Mobile,Standard,2000-01-23,Lviv,900,Inactive,5,2000-05-26
268,Internet,Economy,2017-11-20,Odesa,300,Inactive,5,2005-06-23
269,Mobile,Standard,2018-11-11,Zhytomyr,300,Active,5,2007-08-18
270,Mobile,Economy,1996-04-14,Kharkiv,200,Active,5,2016-12-03
271,Mobile,Standard,2012-10-22,Lviv,200,Active,5,2000-12-13
272,Internet,Business,2007-02-01,Dnipro,100,Active,4,2012-09-06
273,Mobile,Standard,2010-10-14,Kyiv,100,Active,5,2003-08-09
274,Fixed Line,Special,1994-05-23,Zhytomyr,200,Active,2,2001-06-21
275,Mobile,Premium,2005-08-12,Dnipro,50,Active,5,2018-01-06
276,Mobile,Economy,1932-05-25,Kropyvnytskyi,50,Active,5,2001-06-28
277,Mobile,Economy,2011-02-09,Odesa,200,Inactive,4,2007-03-29
278,Internet,Economy,1986-02-03,Mykolaiv,700,Active,3,2008-05-31
279,Mobile,Business,2014-11-10,Lviv,700,Potential,4,2003-01-31
280,IoT,Economy,2003-07-17,Kyiv,50,Active,5,2006-05-31
281,TV,Economy,2000-12-25,Kyiv,100,Active,5,2004-08-26
282,TV,Business,2012-01-28,Zaporizhzhia,200,Active,4,2001-03-02
283,TV,Standard,2005-07-12,Odesa,500,Active,3,2007-10-24
284,Mobile,Economy,2014-01-13,Kharkiv,900,Active,5,2014-05-29
285,Internet,Economy,2022-11-02,Mykolaiv,500,Active,5,2003-09-03
286,Fixed Line,Business,2016-05-09,Lviv,300,Active,3,2028-04-21
287,Internet,Business,1990-01-13,Odesa,100,Inactive,5,2003-01-22
288,TV,Economy,1982-08-26,Rivne,50,Active,3,2003-07-30
289,Fixed Line,Standard,2014-01-01,Kharkiv,50,Active,3,2006-02-19
290,IoT,Business,2008-08-24,Mykolaiv,300,Potential,5,2001-02-15
291,Mobile,Premium,2021-12-17,Dnipro,50,Inactive,5,2012-09-18
292,TV,Business,2015-08-06,Dnipro,300,Active,4,2008-11-05
293,Internet,Standard,1981-08-24,Kyiv,300,Active,1,2011-04-10
294,Internet,Business,1997-07-03,Khmelnytskyi,50,Active,3,2005-02-23
295,Mobile,Economy,2016-09-11,Zhytomyr,700,Active,5,2011-10-13
296,Fixed Line,Economy,2014-11-08,Kropyvnytskyi,200,Active,5,2006-03-28
297,TV,Premium,1976-07-15,Dnipro,700,Active,4,2003-12-04
298,Mobile,Standard,2016-07-31,Mykolaiv,700,Inactive,3,2014-09-14
299,Internet,Business,2011-11-13,Dnipro,100,Active,3,2003-03-04
300,Mobile,Economy,1993-02-10,Kharkiv,200,Active,5,2003-10-20
301,IoT,Business,2000-06-15,Mykolaiv,100,Active,3,2001-01-06
302,Mobile,Economy,2006-02-02,Kyiv,300,Active,4,2016-02-25
303,Mobile,Standard,1960-01-13,Lviv,200,Active,5,2001-05-14
304,Mobile,Economy,2016-03-18,Odesa,700,Active,3,2001-03-25
305,Internet,Standard,1985-12-21,Sumy,100,Active,3,2000-08-01
306,Mobile,Premium,2018-04-05,Dnipro,300,Potential,4,2003-04-22
307,Internet,Economy,1996-10-25,Odesa,900,Active,5,2001-10-01
308,TV,Economy,1967-01-05,Kropyvnytskyi,300,Active,5,2007-05-24
309,TV,Standard,2006-03-28,Dnipro,50,Potential,4,2002-01-04
310,Mobile,Business,1987-09-23,Lviv,200,Potential,2,2006-12-26
311,IoT,Economy,1975-12-30,Poltava,100,Active,4,2001-03-12
312,Internet,Economy,2018-12-31,Mykolaiv,50,Potential,2,2001-06-06
313,Mobile,Economy,1989-07-03,Kyiv,200,Active,2,2008-12-25
314,Mobile,Business,1953-11-27,Poltava,100,Active,4,2002-07-16
315,Mobile,Economy,1999-06-28,Kyiv,300,Active,5,2000-08-25
316,TV,Economy,2017-05-13,Kharkiv,200,Active,5,2017-10-27
317,Mobile,Premium,2019-04-15,Lviv,300,Active,5,2001-01-25
318,Mobile,Standard,2014-10-08,Odesa,50,Active,5,2000-11-21
319,Fixed Line,Economy,2020-01-05,Kharkiv,50,Inactive,5,2002-06-06
320,Internet,Special,2003-04-13,Khmelnytskyi,50,Active,5,2000-07-20
321,Fixed Line,Standard,2021-01-09,Uzhhorod,100,Active,4,2000-12-04
322,Fixed Line,Standard,2016-01-30,Khmelnytskyi,200,Active,4,2010-04-05
323,Mobile,Economy,2007-02-18,Cherkasy,300,Potential,2,2001-01-11
324,TV,Business,2005-06-02,Kyiv,900,Inactive,4,2000-08-24
325,Mobile,Economy,2000-03-09,Odesa,200,Active,5,2011-08-10
326,Internet,Economy,1989-07-10,Zhytomyr,50,Inactive,4,2003-03-19
327,Internet,Economy,2021-09-05,Cherkasy,100,Inactive,3,2000-12-07
328,Mobile,Premium,2020-09-13,Kropyvnytskyi,500,Potential,4,2004-10-08
329,IoT,Standard,2021-04-14,Kyiv,300,Active,4,2000-03-25
330,Mobile,Standard,2007-12-10,Odesa,300,Active,5,2003-01-20
331,Mobile,Economy,2021-10-31,Dnipro,100,Active,3,2004-11-19
332,TV,Standard,1985-06-22,Odesa,100,Potential,5,2017-03-30
333,Internet,Premium,2016-02-04,Lviv,100,Potential,5,2002-03-01
334,Internet,Economy,1946-05-02,Kharkiv,500,Inactive,5,2007-12-06
335,Internet,Business,2004-10-04,Cherkasy,100,Active,4,2000-10-11
336,TV,Economy,2006-10-26,Odesa,300,Active,5,2003-02-10
337,Mobile,Premium,1981-06-25,Kyiv,200,Active,1,2001-05-19
338,Mobile,Economy,1988-10-23,Uzhhorod,200,Active,2,2003-09-18
339,Mobile,Standard,1997-05-30,Kharkiv,100,Active,3,2002-12-15
340,Mobile,Special,1948-02-08,Vinnytsia,300,Active,4,2021-05-12
341,Fixed Line,Special,2007-12-25,Kharkiv,50,Potential,4,2013-08-29
342,Mobile,Economy,1977-09-29,Zhytomyr,900,Active,3,2004-10-11
343,Mobile,Standard,2009-11-29,Vinnytsia,50,Potential,4,2001-01-23
344,Mobile,Economy,1973-02-10,Khmelnytskyi,50,Inactive,4,2004-06-16
345,Fixed Line,Business,2014-10-12,Kharkiv,200,Active,4,2008-08-07
346,TV,Standard,2013-08-27,Odesa,500,Active,2,2000-03-18
347,Mobile,Economy,1991-12-28,Odesa,100,Potential,5,2003-02-12
348,Internet,Economy,2016-06-15,Kharkiv,200,Inactive,4,2000-03-28
349,Mobile,Business,2015-11-17,Kharkiv,50,Active,3,2001-07-13
350,Internet,Standard,2013-01-11,Chernihiv,50,Active,5,2000-07-12
351,Mobile,Economy,1991-11-25,Lviv,300,Active,3,2017-09-14
352,Mobile,Economy,1962-09-21,Cherkasy,100,Active,4,2001-01-04
353,Internet,Economy,1992-04-07,Sumy,300,Active,3,2000-11-21
354,TV,Standard,1974-11-03,Chernihiv,300,Inactive,5,2019-08-04
355,Mobile,Business,2001-07-13,Kharkiv,500,Active,5,2003-12-22
356,Fixed Line,Business,2021-01-17,Kropyvnytskyi,100,Active,3,2007-10-08
357,Internet,Standard,2020-02-08,Dnipro,200,Potential,1,2002-03-03
358,TV,Business,2000-11-14,Kyiv,700,Active,3,2004-03-02
359,Mobile,Standard,2012-02-16,Mykolaiv,300,Inactive,4,2000-01-14
360,Mobile,Economy,2016-03-07,Lviv,100,Active,3,2002-11-17
