id,category0,category1,category2,category3,details,price,date
33,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,9890,2023-10-16
34,admin,admin_market,admin_market_research,admin_market_research_competitors,Деталі для admin market research competitors,6730,2024-09-01
35,staff,staff_tech,staff_tech_salary,staff_tech_salary_bonus,Деталі для staff tech salary bonus,7453,2024-10-23
36,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,5086,2023-08-02
37,admin,admin_market,admin_market_research,admin_market_research_competitors,Деталі для admin market research competitors,5758,2024-09-18
38,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,1490,2024-10-19
39,staff,staff_tech,staff_tech_salary,staff_tech_salary_bonus,Деталі для staff tech salary bonus,5908,2024-04-10
40,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,3387,2023-12-13
41,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,8257,2023-10-23
42,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,7772,2024-08-26
43,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,3181,2023-11-27
44,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,6622,2023-12-21
45,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,7487,2023-02-04
46,admin,admin_office,admin_office_rent,admin_office_rent_utilities,Деталі для admin office rent utilities,4553,2023-12-11
47,infra,infra_cable,infra_cable_maint,infra_cable_maint_preventive,Деталі для infra cable maint preventive,8349,2024-05-13
48,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,2462,2024-02-06
49,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,8016,2023-02-17
50,infra,infra_cable,infra_cable_maint,infra_cable_maint_preventive,Деталі для infra cable maint preventive,9465,2024-08-22
51,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,7297,2024-01-23
52,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,4332,2023-03-20
53,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_pension,Деталі для staff tech insurance pension,6214,2024-09-08
54,admin,admin_office,admin_office_rent,admin_office_rent_utilities,Деталі для admin office rent utilities,2140,2023-09-24
55,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,4339,2024-07-02
56,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,1571,2024-09-06
57,extra,extra_security,extra_security_cyber,extra_security_cyber_antivirus,Деталі для extra security cyber antivirus,1178,2023-07-16
58,support,support_tech,support_tech_update,support_tech_update_license,Деталі для support tech update license,5588,2023-05-10
59,extra,extra_security,extra_security_guard,extra_security_guard_cameras,Деталі для extra security guard cameras,3933,2023-07-11
60,staff,staff_tech,staff_tech_salary,staff_tech_salary_bonus,Деталі для staff tech salary bonus,4389,2023-05-24
61,admin,admin_market,admin_market_research,admin_market_research_competitors,Деталі для admin market research competitors,7326,2023-09-27
62,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_antenna,Деталі для infra telecom purchase antenna,2167,2023-04-21
63,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,7738,2024-07-07
64,staff,staff_support,staff_support_expenses,staff_support_expenses_meals,Деталі для staff support expenses meals,7691,2024-06-01
65,staff,staff_support,staff_support_expenses,staff_support_expenses_transport,Деталі для staff support expenses transport,8037,2024-04-26
66,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,1687,2023-01-21
67,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_pension,Деталі для staff tech insurance pension,4183,2023-02-28
68,admin,admin_market,admin_market_research,admin_market_research_competitors,Деталі для admin market research competitors,9181,2023-02-04
69,admin,admin_office,admin_office_rent,admin_office_rent_parking,Деталі для admin office rent parking,2754,2024-04-08
70,admin,admin_office,admin_office_rent,admin_office_rent_utilities,Деталі для admin office rent utilities,7004,2024-07-28
71,support,support_tech,support_tech_update,support_tech_update_system,Деталі для support tech update system,2412,2024-07-13
72,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_tv,Деталі для admin marketing ads tv,1446,2024-01-03
73,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_life,Деталі для staff tech insurance life,6969,2023-02-19
74,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,5657,2023-09-04
75,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,1983,2024-05-02
76,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,9737,2024-03-21
77,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,2990,2024-04-21
78,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,5435,2024-08-19
79,infra,infra_cable,infra_cable_maint,infra_cable_maint_diagnostics,Деталі для infra cable maint diagnostics,4199,2024-09-16
80,infra,infra_base,infra_base_repair,infra_base_repair_parts,Деталі для infra base repair parts,7054,2024-04-26
81,support,support_client,support_client_equip,support_client_equip_computers,Деталі для support client equip computers,2551,2024-09-08
82,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_health,Деталі для staff tech insurance health,9042,2024-09-03
83,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_life,Деталі для staff tech insurance life,3925,2024-08-31
84,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,4153,2023-10-10
85,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,8867,2024-08-04
86,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,3741,2023-04-23
87,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,1918,2023-07-01
88,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,7391,2023-05-26
89,extra,extra_security,extra_security_guard,extra_security_guard_cameras,Деталі для extra security guard cameras,7637,2023-02-21
90,admin,admin_office,admin_office_rent,admin_office_rent_utilities,Деталі для admin office rent utilities,2867,2023-10-25
91,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,1240,2024-01-04
92,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,8995,2024-09-02
93,infra,infra_base,infra_base_rent,infra_base_rent_utilities,Деталі для infra base rent utilities,7568,2024-07-07
94,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_antenna,Деталі для infra telecom purchase antenna,5368,2023-10-21
95,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,2910,2024-07-22
96,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_servers,Деталі для infra telecom purchase servers,3757,2023-11-17
97,extra,extra_consult,extra_consult_info,extra_consult_info_research,Деталі для extra consult info research,1060,2023-02-23
98,infra,infra_base,infra_base_rent,infra_base_rent_utilities,Деталі для infra base rent utilities,1534,2024-01-26
99,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,6325,2024-08-12
100,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,2104,2024-04-29
101,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_print,Деталі для admin marketing ads print,5846,2024-05-15
102,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,7678,2024-02-14
103,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,1547,2024-09-12
104,admin,admin_office,admin_office_supplies,admin_office_supplies_cartridges,Деталі для admin office supplies cartridges,8776,2024-08-21
105,staff,staff_tech,staff_tech_salary,staff_tech_salary_bonus,Деталі для staff tech salary bonus,3460,2024-06-29
106,infra,infra_base,infra_base_rent,infra_base_rent_utilities,Деталі для infra base rent utilities,7430,2024-08-16
107,extra,extra_it_outsource,extra_it_outsource_infra_mgmt,extra_it_outsource_access_ctrl,Деталі для extra it outsource access ctrl,3565,2023-04-13
108,staff,staff_admin,staff_admin_dev,staff_admin_dev_certification,Деталі для staff admin dev certification,8099,2023-07-28
109,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_firmware,Деталі для infra telecom modern firmware,5151,2024-07-06
110,staff,staff_admin,staff_admin_dev,staff_admin_dev_courses,Деталі для staff admin dev courses,5593,2024-03-17
111,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,8382,2024-03-19
112,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,3223,2024-03-02
113,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,5704,2024-10-18
114,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,8127,2024-10-10
115,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,4001,2023-12-07
116,staff,staff_admin,staff_admin_salary,staff_admin_salary_base,Деталі для staff admin salary base,3321,2024-07-07
117,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_antenna,Деталі для infra telecom purchase antenna,4504,2023-06-06
118,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_firmware,Деталі для infra telecom modern firmware,7250,2024-09-11
119,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,5626,2024-06-21
120,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,2716,2023-05-11
121,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_firmware,Деталі для infra telecom modern firmware,5272,2024-10-04
122,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,9052,2024-09-21
123,staff,staff_admin,staff_admin_dev,staff_admin_dev_training,Деталі для staff admin dev training,7704,2024-06-20
124,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,7031,2023-05-28
125,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,8328,2024-06-21
126,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,3506,2024-05-28
127,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,4661,2024-09-01
128,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,2480,2023-03-28
129,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,2299,2024-07-11
130,staff,staff_admin,staff_admin_dev,staff_admin_dev_training,Деталі для staff admin dev training,3831,2023-12-05
131,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,1277,2023-01-18
132,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,6190,2024-04-24
133,admin,admin_office,admin_office_supplies,admin_office_supplies_paper,Деталі для admin office supplies paper,1815,2024-10-08
134,admin,admin_office,admin_office_rent,admin_office_rent_office,Деталі для admin office rent office,1534,2023-10-20
135,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,2172,2023-09-24
136,support,support_tech,support_tech_update,support_tech_update_license,Деталі для support tech update license,8670,2023-01-14
137,staff,staff_tech,staff_tech_salary,staff_tech_salary_bonus,Деталі для staff tech salary bonus,7665,2024-09-25
138,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,5611,2024-02-01
139,support,support_tech,support_tech_update,support_tech_update_system,Деталі для support tech update system,1018,2024-10-03
140,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,4518,2024-03-16
141,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,1739,2024-06-05
142,admin,admin_office,admin_office_supplies,admin_office_supplies_paper,Деталі для admin office supplies paper,6645,2024-03-13
143,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,7998,2023-05-15
144,infra,infra_cable,infra_cable_maint,infra_cable_maint_diagnostics,Деталі для infra cable maint diagnostics,3603,2024-01-10
145,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,6682,2023-09-23
146,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,3007,2024-03-18
147,support,support_tech,support_tech_repair,support_tech_repair_devices,Деталі для support tech repair devices,3330,2024-08-08
148,staff,staff_admin,staff_admin_salary,staff_admin_salary_base,Деталі для staff admin salary base,5938,2023-02-26
149,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,7401,2024-06-13
150,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,8164,2024-02-06
151,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,9534,2024-03-11
152,extra,extra_it_outsource,extra_it_outsource_infra_mgmt,extra_it_outsource_access_ctrl,Деталі для extra it outsource access ctrl,5620,2024-08-23
153,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,4381,2023-05-20
154,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_hr,Деталі для extra consult outsourcing hr,1004,2024-02-14
155,staff,staff_tech,staff_tech_salary,staff_tech_salary_compensation,Деталі для staff tech salary compensation,4326,2024-08-10
156,extra,extra_security,extra_security_guard,extra_security_guard_alarm,Деталі для extra security guard alarm,6092,2023-10-09
157,admin,admin_office,admin_office_rent,admin_office_rent_parking,Деталі для admin office rent parking,9520,2024-06-27
158,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,6288,2024-01-01
159,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,9446,2023-05-23
160,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,5516,2024-10-24
161,infra,infra_base,infra_base_repair,infra_base_repair_parts,Деталі для infra base repair parts,3508,2024-10-24
162,extra,extra_consult,extra_consult_info,extra_consult_info_reviews,Деталі для extra consult info reviews,7964,2024-02-13
163,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,8688,2024-06-07
164,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,1877,2023-08-14
165,support,support_tech,support_tech_update,support_tech_update_license,Деталі для support tech update license,9613,2023-06-30
166,infra,infra_cable,infra_cable_maint,infra_cable_maint_diagnostics,Деталі для infra cable maint diagnostics,7520,2024-10-16
167,support,support_client,support_client_training,support_client_training_courses,Деталі для support client training courses,6515,2023-01-04
168,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_legal,Деталі для extra consult outsourcing legal,4681,2024-02-24
169,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_life,Деталі для staff tech insurance life,6629,2023-03-04
170,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,8422,2024-03-04
171,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,3793,2024-05-27
172,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,9098,2023-06-19
173,staff,staff_tech,staff_tech_salary,staff_tech_salary_bonus,Деталі для staff tech salary bonus,9624,2023-02-28
174,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,1246,2024-01-17
175,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,5022,2024-01-15
176,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,5573,2024-02-24
177,support,support_tech,support_tech_update,support_tech_update_compat,Деталі для support tech update compat,6755,2024-08-10
178,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_health,Деталі для staff tech insurance health,4317,2023-03-25
179,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_replace,Деталі для infra telecom modern replace,4057,2023-02-06
180,admin,admin_office,admin_office_rent,admin_office_rent_office,Деталі для admin office rent office,1867,2024-04-12
181,support,support_client,support_client_training,support_client_training_courses,Деталі для support client training courses,1579,2024-05-21
182,extra,extra_consult,extra_consult_info,extra_consult_info_research,Деталі для extra consult info research,1452,2024-01-29
183,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,7747,2023-03-19
184,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,4645,2024-04-23
185,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_antenna,Деталі для infra telecom purchase antenna,6111,2024-08-31
186,staff,staff_admin,staff_admin_dev,staff_admin_dev_courses,Деталі для staff admin dev courses,7238,2023-09-19
187,extra,extra_security,extra_security_guard,extra_security_guard_alarm,Деталі для extra security guard alarm,5175,2023-08-26
188,staff,staff_tech,staff_tech_salary,staff_tech_salary_compensation,Деталі для staff tech salary compensation,2812,2024-06-13
189,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_config,Деталі для infra telecom serv config,2410,2024-03-01
190,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,1997,2023-02-24
191,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,7102,2023-07-17
192,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,7354,2024-05-18
193,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,5378,2023-09-15
194,infra,infra_cable,infra_cable_maint,infra_cable_maint_diagnostics,Деталі для infra cable maint diagnostics,6492,2023-03-22
195,admin,admin_office,admin_office_rent,admin_office_rent_office,Деталі для admin office rent office,8837,2023-07-23
196,admin,admin_office,admin_office_rent,admin_office_rent_office,Деталі для admin office rent office,2860,2023-05-26
197,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,6398,2023-07-28
198,admin,admin_office,admin_office_rent,admin_office_rent_office,Деталі для admin office rent office,6819,2024-02-23
199,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_health,Деталі для staff tech insurance health,7784,2024-06-05
200,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,8194,2024-06-13
201,staff,staff_admin,staff_admin_salary,staff_admin_salary_base,Деталі для staff admin salary base,2502,2023-06-11
202,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,7856,2024-05-08
203,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,7310,2024-04-12
204,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,5911,2024-02-08
205,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,6816,2023-12-17
206,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,6003,2024-10-19
207,support,support_tech,support_tech_update,support_tech_update_compat,Деталі для support tech update compat,1317,2024-04-23
208,admin,admin_office,admin_office_rent,admin_office_rent_office,Деталі для admin office rent office,4557,2023-02-14
209,support,support_client,support_client_equip,support_client_equip_computers,Деталі для support client equip computers,8857,2023-12-23
210,infra,infra_base,infra_base_repair,infra_base_repair_parts,Деталі для infra base repair parts,1508,2023-11-28
211,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,4209,2023-08-19
212,support,support_client,support_client_equip,support_client_equip_headsets,Деталі для support client equip headsets,4557,2024-05-30
213,admin,admin_office,admin_office_rent,admin_office_rent_office,Деталі для admin office rent office,1687,2023-11-06
214,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,1845,2023-05-21
215,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,3024,2024-08-11
216,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,3486,2023-08-15
217,admin,admin_market,admin_market_research,admin_market_research_surveys,Деталі для admin market research surveys,2036,2024-05-07
218,staff,staff_support,staff_support_expenses,staff_support_expenses_meals,Деталі для staff support expenses meals,4407,2024-10-01
219,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,3886,2023-04-27
220,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,8754,2023-08-25
221,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,3785,2024-04-08
222,infra,infra_base,infra_base_rent,infra_base_rent_utilities,Деталі для infra base rent utilities,9060,2023-04-01
223,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_life,Деталі для staff tech insurance life,4406,2024-01-04
224,admin,admin_marketing,admin_marketing_events,admin_marketing_events_promos,Деталі для admin marketing events promos,8406,2023-05-13
225,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,5777,2024-09-26
226,staff,staff_admin,staff_admin_salary,staff_admin_salary_base,Деталі для staff admin salary base,1162,2024-09-01
227,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_online,Деталі для admin marketing ads online,4446,2023-04-02
228,admin,admin_market,admin_market_research,admin_market_research_competitors,Деталі для admin market research competitors,4385,2024-05-07
229,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,3500,2024-04-15
230,admin,admin_market,admin_market_research,admin_market_research_demand,Деталі для admin market research demand,8314,2024-07-29
231,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,8170,2023-03-05
232,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_health,Деталі для staff tech insurance health,8718,2023-04-12
233,extra,extra_consult,extra_consult_info,extra_consult_info_reports,Деталі для extra consult info reports,9638,2024-09-02
234,staff,staff_tech,staff_tech_salary,staff_tech_salary_bonus,Деталі для staff tech salary bonus,9787,2023-02-20
235,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,3824,2023-09-15
236,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,1501,2023-03-26
237,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_antenna,Деталі для infra telecom purchase antenna,6820,2023-12-12
238,support,support_client,support_client_training,support_client_training_courses,Деталі для support client training courses,1122,2024-10-17
239,infra,infra_base,infra_base_rent,infra_base_rent_utilities,Деталі для infra base rent utilities,9399,2023-11-07
240,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,9186,2023-12-24
241,admin,admin_market,admin_market_research,admin_market_research_demand,Деталі для admin market research demand,9677,2024-06-16
242,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,3311,2023-02-27
243,staff,staff_tech,staff_tech_salary,staff_tech_salary_bonus,Деталі для staff tech salary bonus,6785,2024-01-29
244,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,1838,2024-02-11
245,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,5468,2023-08-13
246,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_pension,Деталі для staff tech insurance pension,2564,2023-08-08
247,support,support_tech,support_tech_update,support_tech_update_system,Деталі для support tech update system,1282,2023-02-27
248,infra,infra_cable,infra_cable_maint,infra_cable_maint_diagnostics,Деталі для infra cable maint diagnostics,7985,2024-03-01
249,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,1564,2024-07-31
250,infra,infra_cable,infra_cable_maint,infra_cable_maint_preventive,Деталі для infra cable maint preventive,5631,2024-01-03
251,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,4549,2023-04-15
