Customer ID,Service Type,Tariff Type,Date of Birth,Location,Monthly Spending,Customer Status,Service Rating,Sign-up Date
60,Mobile,Premium,2005-11-13,Poltava,<100 UAH,Potential,5,2008-06-22
61,Mobile,Premium,1982-06-25,Odesa,100-200 UAH,Active,4,2001-07-20
62,TV,Premium,1970-07-05,Odesa,100-200 UAH,Potential,2,2010-04-21
63,Mobile,Standard,2011-07-11,Odesa,100-200 UAH,Active,3,2001-01-04
64,Fixed Line,Business,2012-02-27,Kharkiv,500+ UAH,Inactive,4,2000-05-10
65,Fixed Line,Economy,1988-11-14,Odesa,100-200 UAH,Active,3,2012-04-21
66,Mobile,Business,2016-11-17,Odesa,500+ UAH,Potential,2,2004-08-16
67,IoT,Economy,2011-04-25,Kharkiv,200-500 UAH,Inactive,2,2013-08-15
68,TV,Special,1985-11-10,Kyiv,100-200 UAH,Active,3,2007-05-01
69,IoT,Business,1999-11-22,Zaporizhzhia,200-500 UAH,Active,2,2002-11-25
70,Mobile,Economy,1990-03-12,Poltava,200-500 UAH,Active,1,2021-07-24
71,IoT,Premium,1975-11-03,Poltava,500+ UAH,Active,1,2005-06-22
72,TV,Special,1990-08-11,Vinnytsia,200-500 UAH,Potential,2,2001-05-10
73,TV,Business,2012-02-26,Odesa,<100 UAH,Inactive,5,2006-02-08
74,IoT,Standard,1996-02-20,Lviv,<100 UAH,Active,2,2005-07-06
75,Internet,Special,2000-05-26,Kyiv,100-200 UAH,Active,2,2006-07-25
76,TV,Premium,1987-12-25,Kharkiv,500+ UAH,Active,3,2007-10-16
77,Mobile,Premium,1978-10-14,Kyiv,200-500 UAH,Potential,1,2017-08-20
78,Mobile,Premium,1998-06-26,Kyiv,100-200 UAH,Potential,5,2001-04-23
79,Mobile,Economy,1997-07-27,Dnipro,500+ UAH,Active,1,2007-10-07
80,Internet,Business,2017-10-10,Kharkiv,<100 UAH,Active,5,2002-04-09
81,Mobile,Special,1970-06-20,Kyiv,500+ UAH,Inactive,4,2021-07-06
82,IoT,Business,2014-11-17,Poltava,<100 UAH,Inactive,4,2003-02-25
83,Internet,Business,2016-04-05,Kharkiv,500+ UAH,Potential,5,2010-06-29
84,TV,Economy,1982-01-09,Vinnytsia,500+ UAH,Active,2,2010-07-07
85,Internet,Economy,1972-04-13,Odesa,<100 UAH,Potential,1,2017-02-09
86,Mobile,Premium,2012-05-31,Zaporizhzhia,200-500 UAH,Active,3,2005-12-17
87,Mobile,Business,1978-06-11,Kharkiv,<100 UAH,Inactive,4,2016-02-28
88,IoT,Economy,1989-10-31,Kyiv,500+ UAH,Inactive,3,2000-07-29
89,TV,Premium,1992-08-23,Kharkiv,<100 UAH,Potential,2,2020-04-22
90,TV,Special,1986-03-29,Dnipro,100-200 UAH,Potential,5,2002-03-02
91,Internet,Economy,1991-04-25,Zaporizhzhia,100-200 UAH,Potential,3,2010-07-13
92,Mobile,Economy,1985-07-21,Vinnytsia,100-200 UAH,Inactive,2,2003-10-19
93,Mobile,Special,1996-03-30,Poltava,100-200 UAH,Active,2,2008-01-27
94,Internet,Special,1972-01-01,Dnipro,<100 UAH,Active,3,2014-01-23
95,Fixed Line,Economy,1999-07-13,Dnipro,<100 UAH,Potential,1,2003-02-13
96,Mobile,Special,1977-08-22,Vinnytsia,200-500 UAH,Active,4,2006-05-01
97,TV,Special,2018-10-15,Vinnytsia,<100 UAH,Active,4,2014-11-16
98,Internet,Premium,2002-04-05,Zaporizhzhia,100-200 UAH,Potential,2,2018-07-01
99,Internet,Economy,1970-05-25,Vinnytsia,200-500 UAH,Inactive,4,2012-12-26
100,IoT,Special,1971-12-15,Kharkiv,200-500 UAH,Potential,2,2011-06-15
101,Mobile,Premium,1983-06-24,Kyiv,500+ UAH,Potential,1,2002-05-26
102,Mobile,Economy,2008-03-03,Odesa,<100 UAH,Potential,5,2003-03-18
103,TV,Economy,1974-08-11,Lviv,<100 UAH,Active,5,2020-12-26
104,Fixed Line,Economy,2003-01-30,Odesa,200-500 UAH,Potential,5,2000-01-21
105,TV,Special,1997-07-24,Zaporizhzhia,500+ UAH,Potential,1,2010-08-11
106,Fixed Line,Special,1991-10-24,Vinnytsia,200-500 UAH,Inactive,5,2016-07-25
107,IoT,Business,1978-11-11,Dnipro,200-500 UAH,Inactive,5,2004-08-06
108,TV,Premium,1971-08-21,Vinnytsia,<100 UAH,Potential,3,2010-01-24
109,TV,Business,1995-08-08,Kyiv,100-200 UAH,Inactive,1,2010-10-19
110,Mobile,Premium,1995-09-18,Vinnytsia,500+ UAH,Potential,5,2005-09-14
111,TV,Standard,1970-09-29,Poltava,200-500 UAH,Inactive,3,2019-04-01
112,Mobile,Business,2002-02-09,Vinnytsia,<100 UAH,Potential,5,2020-04-06
113,IoT,Economy,1988-01-22,Kharkiv,500+ UAH,Inactive,2,2016-05-30
114,Fixed Line,Standard,1994-01-18,Kharkiv,200-500 UAH,Active,5,2000-03-10
115,TV,Standard,1992-12-09,Poltava,<100 UAH,Inactive,3,2013-10-10
116,IoT,Standard,2004-11-09,Poltava,500+ UAH,Inactive,2,2005-01-30
117,Mobile,Premium,1995-04-18,Kyiv,<100 UAH,Potential,1,2005-11-07
118,Fixed Line,Special,1988-06-28,Kyiv,<100 UAH,Inactive,1,2004-01-10
119,TV,Special,1979-10-27,Vinnytsia,<100 UAH,Inactive,1,2012-07-15
120,TV,Standard,1971-06-30,Zaporizhzhia,200-500 UAH,Active,5,2009-10-13
121,Internet,Special,1981-04-20,Zaporizhzhia,100-200 UAH,Potential,3,2004-03-28
122,TV,Economy,2001-01-26,Dnipro,200-500 UAH,Active,1,2020-06-05
123,IoT,Special,1982-11-25,Dnipro,200-500 UAH,Potential,3,2005-03-28
124,TV,Premium,2003-11-30,Zaporizhzhia,100-200 UAH,Potential,1,2017-01-20
125,TV,Standard,2016-11-06,Kyiv,<100 UAH,Potential,4,2000-07-16
126,Internet,Business,1982-10-27,Dnipro,100-200 UAH,Inactive,2,2004-01-07
127,Internet,Economy,2008-08-31,Vinnytsia,200-500 UAH,Potential,5,2017-12-07
128,Internet,Business,2002-10-14,Zaporizhzhia,<100 UAH,Active,2,2011-10-01
129,TV,Standard,1989-12-19,Lviv,200-500 UAH,Inactive,2,2014-02-24
130,Fixed Line,Standard,2005-04-17,Vinnytsia,500+ UAH,Potential,4,2009-05-24
131,Fixed Line,Business,1983-12-23,Kharkiv,<100 UAH,Potential,3,2009-07-17
132,IoT,Standard,1984-12-16,Dnipro,500+ UAH,Inactive,2,2002-09-30
133,TV,Standard,1990-01-04,Dnipro,200-500 UAH,Active,4,2003-09-29
134,Internet,Standard,1991-03-04,Dnipro,<100 UAH,Active,3,2020-02-16
135,Fixed Line,Special,1997-08-06,Kyiv,200-500 UAH,Inactive,4,2010-01-09
136,TV,Special,1989-02-26,Vinnytsia,500+ UAH,Inactive,3,2010-05-07
137,Internet,Premium,2012-09-29,Vinnytsia,<100 UAH,Inactive,4,2014-08-05
138,IoT,Business,2001-08-17,Lviv,100-200 UAH,Inactive,2,2000-04-23
139,Fixed Line,Economy,2015-08-31,Vinnytsia,200-500 UAH,Inactive,2,2011-09-01
140,Fixed Line,Business,1988-04-20,Poltava,100-200 UAH,Potential,4,2019-05-23
141,Mobile,Business,2019-03-15,Dnipro,<100 UAH,Active,2,2009-02-20
142,Internet,Premium,2005-07-17,Lviv,<100 UAH,Inactive,4,2009-01-13
143,Mobile,Special,2008-05-21,Lviv,100-200 UAH,Potential,4,2009-12-05
144,IoT,Economy,1998-11-19,Kyiv,<100 UAH,Inactive,5,2018-09-23
145,Mobile,Economy,2013-12-06,Dnipro,500+ UAH,Active,1,2013-05-12
146,TV,Premium,1974-11-23,Poltava,<100 UAH,Active,2,2016-05-14
147,Fixed Line,Standard,2008-12-18,Lviv,<100 UAH,Active,4,2015-09-24
148,Mobile,Business,2002-08-01,Dnipro,500+ UAH,Active,1,2001-02-10
149,Mobile,Business,2012-01-09,Dnipro,100-200 UAH,Potential,4,2021-05-23
150,Internet,Economy,2013-12-06,Vinnytsia,200-500 UAH,Active,2,2015-06-20
151,Internet,Business,1993-03-25,Zaporizhzhia,500+ UAH,Inactive,4,2012-09-15
152,Mobile,Economy,2018-02-01,Odesa,200-500 UAH,Active,3,2000-12-27
153,TV,Special,2010-09-03,Zaporizhzhia,500+ UAH,Potential,3,2020-02-09
154,Mobile,Special,2013-06-04,Poltava,200-500 UAH,Active,5,2010-04-14
155,TV,Economy,1970-08-24,Kharkiv,<100 UAH,Inactive,2,2019-12-16
156,Mobile,Premium,2017-05-06,Dnipro,<100 UAH,Potential,2,2009-03-01
157,IoT,Business,1982-09-22,Vinnytsia,100-200 UAH,Potential,1,2012-08-23
158,IoT,Economy,2001-06-28,Kyiv,500+ UAH,Inactive,4,2019-07-29
159,Mobile,Premium,1992-10-24,Vinnytsia,100-200 UAH,Active,2,2010-02-03
160,Internet,Special,2000-07-27,Kharkiv,100-200 UAH,Active,2,2003-12-07
161,TV,Business,1999-01-12,Kyiv,100-200 UAH,Active,1,2009-04-23
162,IoT,Business,2008-07-16,Kyiv,<100 UAH,Active,3,2008-05-11
163,TV,Special,1997-07-23,Kyiv,500+ UAH,Active,2,2016-01-03
164,Fixed Line,Standard,1997-12-23,Odesa,500+ UAH,Active,1,2018-05-31
165,Internet,Economy,1999-07-27,Kharkiv,500+ UAH,Active,3,2000-03-31
166,Internet,Premium,1980-11-30,Kyiv,500+ UAH,Potential,2,2010-11-02
167,Fixed Line,Premium,2004-02-25,Vinnytsia,100-200 UAH,Active,3,2005-11-08
168,Internet,Standard,2019-02-13,Vinnytsia,500+ UAH,Active,2,2003-08-08
169,IoT,Premium,2016-04-10,Odesa,100-200 UAH,Active,5,2014-07-31
170,Fixed Line,Premium,1981-09-28,Kharkiv,100-200 UAH,Inactive,4,2018-04-20
171,IoT,Business,2018-11-06,Vinnytsia,500+ UAH,Active,1,2011-12-04
172,IoT,Economy,2011-06-25,Kyiv,500+ UAH,Potential,2,2004-03-30
173,Fixed Line,Business,2018-04-20,Kyiv,500+ UAH,Active,4,2016-06-15
174,TV,Special,2018-09-14,Dnipro,200-500 UAH,Potential,5,2011-06-02
175,TV,Business,1993-04-09,Kharkiv,<100 UAH,Inactive,3,2017-08-16
176,Internet,Standard,2001-04-24,Vinnytsia,100-200 UAH,Inactive,5,2021-02-16
177,Fixed Line,Economy,1983-04-22,Poltava,500+ UAH,Potential,4,2009-03-08
178,IoT,Standard,1980-06-04,Poltava,<100 UAH,Potential,1,2006-12-27
179,TV,Economy,1992-05-28,Lviv,100-200 UAH,Inactive,4,2006-03-06
180,TV,Economy,1982-07-10,Kyiv,500+ UAH,Potential,3,2015-02-18
181,Internet,Economy,2012-08-08,Kyiv,200-500 UAH,Active,4,2021-04-15
182,Internet,Premium,1972-12-02,Kyiv,200-500 UAH,Inactive,5,2006-04-05
183,Internet,Business,1984-06-13,Dnipro,<100 UAH,Inactive,4,2010-02-15
184,Internet,Premium,1978-11-17,Vinnytsia,500+ UAH,Potential,4,2012-08-15
185,Fixed Line,Premium,1974-12-05,Dnipro,100-200 UAH,Active,4,2020-11-22
186,Mobile,Business,1995-06-22,Dnipro,200-500 UAH,Active,4,2005-05-31
187,TV,Standard,2012-09-17,Kharkiv,500+ UAH,Inactive,3,2021-01-23
188,Internet,Economy,1991-10-09,Odesa,500+ UAH,Potential,4,2011-06-24
189,IoT,Standard,1983-04-04,Kharkiv,500+ UAH,Active,1,2015-12-15
190,TV,Standard,2014-01-29,Odesa,100-200 UAH,Active,3,2017-02-10
191,Internet,Special,2016-01-10,Lviv,100-200 UAH,Potential,3,2003-08-09
192,Internet,Premium,1995-04-10,Poltava,200-500 UAH,Potential,4,2021-05-07
193,Fixed Line,Economy,2002-11-19,Kharkiv,200-500 UAH,Inactive,5,2021-05-18
194,Mobile,Business,1973-01-27,Vinnytsia,200-500 UAH,Active,4,2018-12-21
195,Mobile,Standard,1987-01-22,Zaporizhzhia,<100 UAH,Inactive,3,2018-06-21
196,Fixed Line,Special,1989-06-20,Poltava,<100 UAH,Inactive,2,2007-02-23
197,IoT,Special,1995-04-04,Poltava,<100 UAH,Potential,1,2018-08-30
198,Mobile,Standard,2012-05-27,Vinnytsia,<100 UAH,Active,5,2019-06-16
199,IoT,Standard,2010-06-14,Vinnytsia,200-500 UAH,Potential,5,2005-11-02
200,TV,Special,1970-06-28,Vinnytsia,200-500 UAH,Potential,5,2003-09-27
201,TV,Premium,1977-10-06,Kyiv,500+ UAH,Inactive,3,2016-07-30
202,Mobile,Special,1988-11-05,Poltava,200-500 UAH,Active,5,2012-08-26
203,Mobile,Special,1995-08-02,Lviv,100-200 UAH,Potential,5,2002-05-12
204,TV,Special,2000-04-30,Zaporizhzhia,500+ UAH,Inactive,2,2008-10-01
205,TV,Premium,1977-03-20,Kyiv,200-500 UAH,Active,2,2007-04-09
206,Mobile,Premium,2004-10-16,Odesa,200-500 UAH,Potential,2,2014-06-21
207,TV,Premium,2014-07-05,Poltava,200-500 UAH,Active,5,2009-03-17
208,Mobile,Business,1981-03-06,Dnipro,200-500 UAH,Inactive,5,2014-03-17
209,Fixed Line,Business,1996-12-22,Odesa,500+ UAH,Inactive,4,2017-07-05
210,Internet,Business,2019-06-16,Kharkiv,200-500 UAH,Potential,3,2015-06-27
211,Mobile,Business,2002-03-09,Vinnytsia,500+ UAH,Inactive,4,2013-07-11
212,IoT,Economy,1974-08-29,Lviv,<100 UAH,Inactive,3,2019-11-08
213,Mobile,Economy,2008-08-22,Vinnytsia,<100 UAH,Inactive,4,2005-06-05
214,TV,Economy,1995-05-18,Lviv,500+ UAH,Active,2,2011-02-12
215,IoT,Standard,1975-08-07,Lviv,200-500 UAH,Potential,5,2016-07-23
216,IoT,Economy,1995-09-28,Zaporizhzhia,500+ UAH,Potential,2,2004-11-27
217,Internet,Standard,2007-09-27,Odesa,500+ UAH,Inactive,4,2004-08-20
218,Mobile,Special,1975-11-08,Kharkiv,100-200 UAH,Inactive,3,2014-12-27
219,Fixed Line,Economy,1987-10-20,Dnipro,500+ UAH,Active,1,2017-02-05
220,IoT,Premium,1974-02-12,Lviv,100-200 UAH,Potential,1,2019-05-31
221,IoT,Business,1977-07-27,Dnipro,100-200 UAH,Active,5,2009-10-26
222,Fixed Line,Standard,1972-08-16,Lviv,100-200 UAH,Potential,5,2015-09-09
223,IoT,Special,1981-04-20,Lviv,500+ UAH,Potential,4,2003-09-29
224,TV,Economy,1992-09-11,Odesa,200-500 UAH,Active,3,2006-11-23
225,Fixed Line,Business,2009-07-18,Kyiv,100-200 UAH,Active,3,2013-11-04
226,TV,Premium,2004-04-16,Lviv,500+ UAH,Inactive,2,2003-03-29
227,Mobile,Special,1999-05-11,Poltava,<100 UAH,Potential,4,2020-12-06
228,Mobile,Premium,2019-04-19,Kyiv,100-200 UAH,Inactive,2,2002-10-19
229,Mobile,Economy,1993-03-03,Odesa,100-200 UAH,Potential,4,2017-01-05
230,TV,Standard,2015-09-23,Lviv,100-200 UAH,Inactive,4,2006-12-23
231,IoT,Special,1986-10-27,Zaporizhzhia,100-200 UAH,Inactive,5,2016-01-20
232,IoT,Economy,1991-04-24,Vinnytsia,500+ UAH,Potential,5,2008-11-12
233,Fixed Line,Economy,1989-11-07,Poltava,<100 UAH,Inactive,3,2016-05-17
234,Fixed Line,Standard,1999-10-27,Kharkiv,100-200 UAH,Active,3,2019-09-20
235,IoT,Standard,2016-07-28,Poltava,<100 UAH,Active,5,2013-01-21
236,Internet,Economy,2008-05-12,Lviv,100-200 UAH,Inactive,1,2003-08-04
237,TV,Standard,2011-09-02,Lviv,<100 UAH,Potential,3,2020-10-30
238,TV,Special,2009-07-30,Zaporizhzhia,500+ UAH,Potential,2,2011-08-30
239,TV,Standard,2017-07-25,Kharkiv,200-500 UAH,Potential,1,2005-03-30
240,Internet,Special,1975-09-16,Poltava,<100 UAH,Inactive,2,2008-12-11
241,Fixed Line,Economy,2010-09-10,Kharkiv,<100 UAH,Active,4,2015-10-17
242,Fixed Line,Business,2003-08-04,Lviv,100-200 UAH,Inactive,4,2020-06-26
243,TV,Economy,1971-08-21,Dnipro,<100 UAH,Active,4,2019-11-09
244,Fixed Line,Economy,1989-12-05,Odesa,<100 UAH,Inactive,3,2003-01-27
245,TV,Economy,1985-11-29,Vinnytsia,<100 UAH,Inactive,3,2019-02-04
246,IoT,Special,1975-02-27,Zaporizhzhia,100-200 UAH,Potential,4,2012-12-04
247,IoT,Business,1985-06-25,Poltava,200-500 UAH,Active,3,2008-12-21
248,Fixed Line,Standard,1975-08-14,Dnipro,200-500 UAH,Inactive,3,2010-03-03
249,Internet,Premium,1970-03-12,Vinnytsia,100-200 UAH,Active,2,2017-05-27
250,Fixed Line,Special,2014-05-08,Lviv,200-500 UAH,Inactive,5,2018-07-03
251,Mobile,Economy,1977-11-02,Zaporizhzhia,100-200 UAH,Active,4,2014-05-30
252,TV,Economy,1994-05-18,Vinnytsia,100-200 UAH,Inactive,1,2001-04-12
253,Mobile,Premium,1972-10-08,Kyiv,500+ UAH,Active,5,2017-09-15
254,Fixed Line,Standard,2010-07-27,Kharkiv,<100 UAH,Potential,5,2000-07-24
255,IoT,Business,2007-10-12,Zaporizhzhia,100-200 UAH,Active,2,2008-06-29
256,TV,Economy,2010-12-17,Zaporizhzhia,200-500 UAH,Inactive,4,2009-09-23
257,Fixed Line,Premium,2005-09-19,Vinnytsia,100-200 UAH,Active,1,2011-01-31
258,Internet,Economy,2012-06-28,Vinnytsia,<100 UAH,Inactive,1,2005-08-09
259,Fixed Line,Premium,1984-11-09,Kharkiv,500+ UAH,Potential,2,2009-03-06
260,Internet,Standard,1983-08-16,Zaporizhzhia,<100 UAH,Potential,5,2017-03-30
261,IoT,Premium,1972-02-09,Zaporizhzhia,200-500 UAH,Inactive,2,2005-12-10
262,Internet,Economy,2018-07-17,Kyiv,500+ UAH,Active,1,2017-10-24
263,Mobile,Special,1985-04-16,Odesa,200-500 UAH,Inactive,5,2000-04-10
264,Mobile,Standard,1981-05-13,Vinnytsia,200-500 UAH,Active,5,2003-02-16
265,Mobile,Premium,1973-05-30,Zaporizhzhia,<100 UAH,Active,2,2020-04-07
266,Mobile,Special,1991-06-24,Odesa,100-200 UAH,Potential,4,2010-04-21
267,Mobile,Business,2010-05-28,Lviv,100-200 UAH,Inactive,3,2001-02-10
268,Internet,Business,1985-12-20,Lviv,500+ UAH,Active,5,2013-05-15
269,Mobile,Premium,2008-12-28,Kharkiv,<100 UAH,Active,5,2009-12-27
270,TV,Standard,2008-09-01,Kyiv,500+ UAH,Active,3,2001-12-09
271,Internet,Economy,2016-10-17,Kyiv,100-200 UAH,Inactive,1,2007-08-15
272,IoT,Business,1982-10-31,Dnipro,500+ UAH,Inactive,3,2013-06-16
273,Internet,Special,1999-03-27,Poltava,100-200 UAH,Active,2,2013-09-30
274,Fixed Line,Special,2016-06-10,Odesa,100-200 UAH,Active,5,2019-06-05
275,IoT,Special,1981-09-25,Vinnytsia,<100 UAH,Active,5,2010-10-15
276,Mobile,Business,1976-09-26,Odesa,500+ UAH,Potential,4,2002-04-17
277,Mobile,Premium,1989-01-04,Lviv,100-200 UAH,Potential,1,2002-06-27
278,Fixed Line,Business,2015-06-28,Lviv,200-500 UAH,Active,2,2009-02-16
279,Mobile,Standard,2007-06-15,Zaporizhzhia,500+ UAH,Active,3,2004-01-22
280,IoT,Standard,1971-11-15,Odesa,<100 UAH,Potential,1,2020-03-03
281,IoT,Premium,2008-08-21,Dnipro,<100 UAH,Active,1,2004-08-23
282,IoT,Special,1992-07-29,Zaporizhzhia,100-200 UAH,Inactive,2,2008-03-29
283,Internet,Business,2003-04-18,Lviv,500+ UAH,Inactive,4,2011-03-23
284,Internet,Premium,2005-07-02,Lviv,200-500 UAH,Potential,2,2007-03-28
285,IoT,Economy,1997-08-18,Zaporizhzhia,<100 UAH,Active,2,2014-07-22
286,Internet,Standard,2004-10-23,Vinnytsia,100-200 UAH,Inactive,4,2013-04-04
287,Internet,Economy,2001-09-29,Dnipro,<100 UAH,Active,1,2020-07-28
288,TV,Economy,2004-01-17,Vinnytsia,<100 UAH,Potential,1,2018-03-22
289,Internet,Business,1975-03-12,Zaporizhzhia,<100 UAH,Active,3,2013-03-16
290,TV,Premium,2007-11-06,Vinnytsia,200-500 UAH,Active,4,2009-10-13
291,TV,Economy,1994-07-13,Kharkiv,200-500 UAH,Active,1,2013-06-19
292,Internet,Economy,1979-06-08,Odesa,200-500 UAH,Inactive,1,2013-08-24
293,Internet,Special,1985-07-26,Poltava,200-500 UAH,Inactive,4,2005-11-26
294,Internet,Special,2001-01-02,Kyiv,200-500 UAH,Potential,5,2003-11-25
295,Mobile,Economy,2018-03-01,Kyiv,200-500 UAH,Active,1,2011-05-15
296,TV,Business,1979-05-26,Kyiv,500+ UAH,Active,4,2006-09-24
297,Mobile,Economy,2014-09-26,Poltava,100-200 UAH,Potential,5,2008-06-08
298,IoT,Standard,2002-04-26,Kyiv,200-500 UAH,Inactive,5,2000-01-14
299,Internet,Premium,1994-11-10,Kyiv,200-500 UAH,Inactive,1,2014-12-06
300,IoT,Business,1988-07-01,Poltava,500+ UAH,Inactive,3,2001-04-09
301,Mobile,Special,1977-09-10,Kharkiv,500+ UAH,Active,2,2016-02-09
302,TV,Premium,1976-01-11,Odesa,<100 UAH,Inactive,3,2004-07-21
303,Fixed Line,Standard,1976-07-17,Zaporizhzhia,500+ UAH,Potential,3,2003-08-11
304,Internet,Business,1981-05-26,Lviv,<100 UAH,Inactive,1,2013-02-25
305,IoT,Business,2012-08-08,Zaporizhzhia,200-500 UAH,Active,4,2021-07-16
306,IoT,Business,1982-04-01,Kyiv,200-500 UAH,Active,4,2009-03-30
307,IoT,Special,1987-10-24,Zaporizhzhia,<100 UAH,Active,5,2019-01-15
308,Mobile,Premium,2016-07-26,Dnipro,500+ UAH,Active,3,2001-05-09
309,Mobile,Standard,1993-12-31,Poltava,<100 UAH,Inactive,2,2011-02-21
310,Fixed Line,Economy,1999-08-02,Poltava,<100 UAH,Inactive,5,2014-12-07
311,Mobile,Economy,2011-05-30,Kyiv,500+ UAH,Potential,2,2008-03-22
312,TV,Economy,1977-02-20,Poltava,<100 UAH,Active,5,2002-11-01
313,TV,Premium,1996-09-01,Kharkiv,<100 UAH,Inactive,4,2000-05-03
314,IoT,Business,1974-12-09,Odesa,<100 UAH,Inactive,1,2008-06-20
