id,price,speed,quality,support,clarity
206,8,7,3,9,10
207,5,8,7,7,3
208,3,1,10,5,3
209,1,3,7,4,8
210,8,9,1,7,9
211,3,2,4,10,9
212,1,4,4,2,2
213,3,3,6,8,9
214,7,4,6,1,8
215,8,9,3,2,8
216,6,8,4,1,4
217,1,4,3,8,2
218,5,9,7,4,8
219,7,2,2,4,10
220,10,7,3,1,1
221,3,4,8,1,5
222,4,6,10,10,5
223,4,4,10,3,2
224,1,3,10,10,6
225,1,8,10,9,4
226,5,6,3,2,2
227,5,2,1,4,5
228,1,10,7,9,7
229,2,9,4,7,2
230,6,8,6,5,1
231,3,1,5,2,10
232,1,6,4,7,3
233,2,4,7,3,5
234,9,1,7,6,8
235,6,10,1,10,7
236,6,9,2,1,6
237,9,5,8,5,2
238,10,2,3,6,5
239,5,9,7,4,6
240,3,1,8,6,5
241,9,9,1,8,1
242,8,5,9,5,2
243,6,3,9,9,9
244,1,3,5,1,10
245,1,5,2,7,7
246,3,3,1,6,6
247,2,1,10,9,8
248,2,8,6,2,9
249,9,2,5,3,5
250,10,4,3,8,6
251,10,5,1,7,8
252,2,3,1,3,7
253,1,3,6,9,9
254,1,4,9,9,4
255,1,1,10,2,9
256,10,2,1,2,6
257,7,1,9,5,1
258,4,6,10,9,7
259,10,2,4,2,8
260,10,7,3,4,4
261,2,5,6,4,2
262,10,7,1,8,3
263,9,1,10,10,9
264,8,3,8,3,6
265,10,9,3,7,10
266,6,7,5,2,6
267,7,8,10,4,4
268,3,8,1,1,1
269,5,2,5,8,10
270,3,4,10,6,10
271,1,5,4,3,5
272,8,9,10,9,2
273,8,8,8,10,4
274,10,9,3,6,6
275,3,8,4,2,2
276,8,4,4,8,8
277,10,1,7,6,2
278,7,4,3,9,3
279,1,6,8,9,7
280,1,8,1,6,4
281,10,1,4,6,2
282,10,10,7,3,8
283,8,1,10,4,10
284,7,2,4,5,3
285,1,6,1,2,5
286,9,5,7,7,2
287,5,2,4,4,3
288,3,8,6,5,2
289,3,5,10,6,1
290,4,9,4,6,8
291,2,1,9,2,8
292,3,10,6,6,5
293,9,9,5,7,4
294,5,1,6,6,10
295,2,10,10,8,10
296,1,5,2,9,2
297,4,3,9,3,9
298,7,5,7,4,4
299,9,3,3,9,1
300,1,1,8,7,5
301,8,9,3,7,1
302,10,10,2,9,4
303,8,5,6,7,1
304,2,4,8,10,10
305,6,9,5,3,4
306,7,3,7,5,3
307,9,2,5,6,1
308,9,8,5,10,1
309,6,5,10,6,10
310,8,9,6,5,10
311,5,7,1,2,7
312,5,2,5,6,9
313,5,9,7,1,9
314,9,3,5,9,5
315,8,10,5,3,3
316,4,9,2,3,8
317,9,7,1,8,1
318,1,10,4,1,10
319,9,7,1,9,3
320,5,4,9,10,10
321,4,4,4,7,8
322,9,4,6,3,9
323,5,6,4,5,4
324,2,6,6,8,6
325,2,6,4,2,4
326,3,8,3,7,4
327,9,3,10,3,10
328,10,10,10,1,10
329,1,10,8,2,9
330,9,9,7,6,1
331,1,10,10,2,1
332,5,2,1,4,5
333,9,1,9,2,3
334,5,10,9,4,8
335,7,10,7,3,1
336,3,5,8,3,8
337,6,10,4,1,3
338,8,1,10,4,3
339,5,1,2,4,9
340,9,5,6,7,3
341,6,1,10,7,9
342,6,10,4,7,8
343,9,7,7,10,4
344,3,8,6,7,6
345,5,3,3,5,2
346,8,5,1,4,1
347,7,3,3,1,9
348,7,2,4,1,10
349,10,9,7,3,5
350,7,8,8,1,8
351,5,1,7,7,2
352,5,1,7,2,6
353,3,9,3,4,8
354,7,10,3,10,2
355,8,8,4,7,9
356,5,3,3,5,1
357,10,3,8,6,5
358,5,5,7,9,4
359,7,3,3,1,4
360,3,5,5,10,6
361,4,4,4,1,3
362,6,6,3,4,5
363,1,4,3,5,2
364,7,3,9,2,1
365,5,4,10,4,6
366,5,9,5,2,7
367,6,10,1,5,10
368,4,5,1,4,5
369,8,1,4,7,6
370,4,8,10,7,6
371,10,2,2,2,7
372,4,5,10,7,6
373,2,2,8,4,7
374,5,8,9,8,6
375,3,9,5,2,10
376,6,2,9,7,4
377,2,3,5,4,8
378,9,8,5,8,5
379,8,2,10,9,5
380,9,3,2,1,1
381,1,7,8,3,10
382,10,8,6,8,1
383,3,6,4,7,10
384,7,1,9,7,5
385,9,10,9,6,8
386,5,2,7,5,2
387,2,8,3,5,9
388,1,5,5,10,9
389,7,2,9,1,1
390,10,7,5,9,10
391,2,6,4,3,5
392,5,4,6,1,10
393,6,4,2,4,8
394,8,5,8,9,6
395,7,3,6,9,9
396,4,1,10,7,7
397,8,5,8,4,4
398,2,6,6,1,8
399,10,5,4,5,1
400,10,8,1,5,4
401,2,6,6,6,6
402,3,3,2,9,4
403,3,3,5,7,6
404,9,9,4,8,2
405,8,8,4,7,9
406,8,1,4,1,1
407,6,9,8,9,4
408,7,2,10,10,2
409,3,8,1,1,3
410,5,9,6,4,8
411,3,8,2,6,2
412,4,8,3,10,6
413,6,7,7,1,10
414,10,8,8,7,4
415,9,5,6,7,6
416,6,7,5,8,6
417,9,1,9,2,10
418,3,5,6,5,3
419,2,10,2,4,7
420,6,10,6,7,3
421,6,5,5,4,9
422,7,10,7,7,8
423,3,3,9,3,5
424,7,6,9,8,6
425,4,4,10,9,9
426,2,3,4,2,5
427,2,5,7,6,4
428,10,7,4,6,7
429,4,5,7,5,7
430,6,8,6,10,2
431,4,1,8,3,6
432,9,7,10,9,8
433,3,2,10,7,3
434,8,3,2,5,3
435,2,8,7,7,1
436,3,6,2,4,10
437,7,2,1,7,7
438,3,8,2,10,1
439,1,9,6,1,4
440,5,4,1,7,1
441,8,6,9,8,4
442,1,3,5,4,9
443,7,3,1,7,10
444,7,9,9,10,4
445,9,5,7,7,2
446,9,8,4,3,8
447,9,8,7,9,7
448,10,1,7,3,9
449,5,9,7,9,5
450,10,8,5,1,4
451,10,7,1,1,8
452,6,4,7,1,8
453,5,1,8,9,10
454,5,8,1,3,2
455,2,8,2,8,7
456,5,3,1,4,3
457,6,1,3,2,7
458,3,8,4,10,4
459,3,7,4,9,1
460,10,10,3,4,7
461,8,1,4,5,7
462,7,5,10,2,8
463,10,6,1,9,6
464,2,4,3,10,4
465,7,2,10,6,4
466,4,2,2,2,5
467,9,8,4,8,4
468,4,4,10,3,8
469,3,8,3,7,2
470,4,7,8,4,2
471,6,8,7,9,10
472,6,1,2,4,8
473,3,4,8,2,7
474,5,7,7,3,7
475,1,3,2,7,8
476,9,1,9,2,6
477,4,8,3,10,7
478,1,3,7,2,8
479,6,9,2,8,1
480,9,1,5,5,8
481,5,1,6,3,7
482,4,7,7,2,10
483,1,4,10,9,7
484,8,7,1,7,5
485,1,10,4,10,9
486,7,10,8,5,8
487,5,8,10,10,4
488,2,7,6,7,4
489,9,10,2,3,4
490,5,4,5,7,6
491,1,9,4,1,2
492,5,9,8,9,9
493,6,3,1,7,8
494,8,5,6,9,3
495,1,3,5,10,6
496,5,9,4,9,9
497,5,1,4,5,10
498,2,7,9,7,4
499,1,2,8,2,2
500,6,9,7,8,3
501,8,3,9,2,8
502,2,5,7,8,7
503,10,8,4,9,10
504,3,10,9,1,4
505,8,7,8,8,3
506,9,5,2,8,10
507,9,5,3,4,10
508,4,4,8,6,4
509,3,2,8,3,9
510,10,4,7,6,9
511,2,1,6,9,6
512,7,5,6,6,9
513,4,5,4,6,4
514,9,10,5,2,1
515,3,8,10,7,7
516,8,7,1,2,10
517,4,10,5,2,6
518,4,9,9,6,10
519,1,6,7,8,7
520,3,4,6,7,8
521,1,10,7,4,4
522,4,4,8,7,9
523,9,5,1,8,8
524,2,7,4,3,5
525,6,8,3,3,8
526,3,8,5,4,4
527,9,6,2,1,6
528,3,6,9,10,2
529,2,8,9,4,2
530,2,8,9,3,7
531,9,6,7,9,3
532,3,1,4,9,2
533,8,7,7,5,6
534,10,8,8,4,9
535,6,9,2,10,3
536,6,1,9,4,10
537,1,1,10,10,6
538,7,6,9,6,4
539,1,5,10,8,9
540,5,1,8,2,3
541,10,5,1,9,9
542,2,7,10,6,9
543,10,10,9,9,2
544,9,7,2,6,10
545,7,3,8,2,10
546,4,9,1,3,8
547,8,3,10,4,9
548,8,5,3,8,1
549,8,4,10,7,9
550,4,6,5,3,1
551,7,2,4,2,8
552,4,7,4,10,2
553,1,1,8,7,6
554,7,9,6,4,3
555,1,6,3,6,6
556,4,4,6,8,1
557,7,5,10,3,9
558,3,10,9,4,8
559,2,7,8,4,3
560,5,3,1,2,10
561,6,2,7,3,3
562,7,2,2,3,9
563,7,9,3,8,8
564,7,8,7,1,7
565,8,3,1,3,10
566,6,1,4,8,8
567,7,1,7,2,3
568,9,4,6,4,2
569,7,6,9,8,9
570,4,1,6,10,6
571,3,2,9,8,3
572,2,2,2,9,3
573,5,6,2,4,1
574,6,5,7,2,2
575,6,5,2,2,6
576,4,4,5,6,3
577,4,6,1,1,9
578,8,8,4,10,5
579,9,1,7,6,7
580,4,6,3,2,4
581,7,2,8,10,5
582,1,2,10,4,4
583,1,1,3,4,3
584,10,3,10,8,7
585,7,6,6,10,1
586,7,8,3,4,6
587,5,8,5,1,9
588,4,7,6,4,4
589,8,7,4,2,5
590,2,5,8,5,7
591,8,9,7,1,6
592,10,9,7,10,4
593,9,4,4,9,4
594,8,6,5,10,7
595,8,2,10,2,4
596,1,10,9,4,7
597,7,3,3,1,4
598,10,6,3,6,10
599,2,6,7,4,6
600,8,3,2,1,8
601,7,3,8,7,4
602,6,3,5,9,9
603,5,5,10,3,5
604,7,6,10,9,7
605,7,4,2,8,6
606,5,3,2,7,3
607,1,3,6,10,1
608,8,8,10,6,1
609,9,3,7,7,3
610,9,4,3,2,4
611,7,5,9,9,8
612,8,2,10,4,10
613,6,4,4,9,5
614,4,3,10,10,10
615,8,1,8,10,5
616,9,8,7,5,1
617,6,3,2,7,7
618,4,7,8,9,1
619,5,6,1,6,4
620,2,8,6,8,3
621,4,6,1,7,3
622,7,8,3,7,9
623,5,4,8,10,10
624,1,3,7,1,4
625,1,9,8,8,6
626,4,6,5,7,8
627,3,4,5,1,6
628,5,3,2,1,10
629,3,5,9,3,9
630,2,3,4,9,7
631,5,4,2,7,2
632,9,9,3,6,10
633,2,7,10,7,5
634,5,1,4,5,5
635,2,1,6,6,6
636,10,6,10,3,7
637,4,9,6,6,8
638,2,7,8,1,3
639,3,1,3,1,3
640,5,9,10,2,10
641,10,7,6,7,3
642,6,4,4,5,4
643,4,10,9,5,2
644,8,9,2,5,2
645,8,2,1,7,3
646,10,1,1,10,5
647,9,5,7,2,3
648,4,2,4,5,7
649,4,10,5,9,10
650,3,9,5,9,7
651,10,4,2,8,8
652,6,8,3,7,7
653,5,8,9,2,8
654,1,6,1,5,6
655,4,5,5,7,8
656,1,7,7,4,7
657,5,1,10,10,6
658,5,6,7,4,5
659,4,5,3,2,2
660,4,4,6,8,3
661,9,2,4,2,5
662,9,1,6,1,10
663,2,10,1,4,10
664,4,2,3,3,3
665,10,3,9,6,8
666,10,8,6,8,8
667,4,6,4,4,6
668,8,5,8,6,7
669,8,4,4,8,9
670,1,9,2,9,7
671,8,2,4,3,3
672,3,6,3,2,7
673,2,8,3,6,10
674,4,5,1,9,9
675,10,8,6,9,8
676,6,9,9,8,3
677,5,9,10,3,1
678,1,1,9,9,5
679,10,5,4,1,8
680,1,5,10,9,10
681,6,3,4,4,7
682,8,4,9,2,9
683,6,3,10,2,9
684,3,5,5,6,6
685,10,9,5,5,1
686,1,10,3,4,2
687,4,7,5,7,8
688,8,7,7,6,10
689,6,8,10,9,1
690,4,8,4,4,10
691,2,8,3,8,8
692,5,9,8,5,1
693,4,4,6,1,10
694,3,6,7,9,1
695,8,6,9,2,10
696,6,2,9,1,7
697,2,8,7,1,4
698,6,2,2,1,4
699,3,10,7,2,7
700,5,9,1,4,2
701,5,3,7,3,5
702,4,5,8,5,6
703,9,9,4,7,3
704,4,5,1,5,6
705,8,10,1,1,8
706,9,10,6,6,7
707,7,1,5,1,8
708,1,5,2,2,6
709,7,7,4,4,8
710,6,10,8,3,2
711,6,3,3,6,7
712,3,3,6,7,8
713,3,2,6,10,8
714,8,7,2,8,5
715,4,7,7,7,5
716,10,4,10,6,10
717,7,5,4,10,2
718,8,2,8,2,4
719,10,8,10,6,7
720,10,9,8,4,1
721,10,3,7,7,3
722,1,1,2,7,2
723,4,10,1,5,7
724,4,9,5,8,6
725,1,5,10,10,3
726,5,6,1,10,3
727,5,2,10,9,4
728,9,2,10,2,3
729,3,9,7,7,7
730,9,4,6,9,1
731,8,5,3,10,1
732,6,4,3,6,8
733,2,1,5,8,6
734,2,6,5,6,7
735,5,7,9,8,5
736,8,1,8,2,4
737,10,3,3,7,3
738,3,7,7,5,2
739,8,6,8,1,2
740,7,2,8,7,5
741,8,9,2,6,4
742,7,4,6,8,7
743,6,6,9,5,9
744,1,7,3,3,2
745,6,3,8,4,6
746,3,7,3,3,7
747,1,9,9,10,4
748,3,10,2,8,10
749,10,1,9,1,1
750,4,2,3,8,10
751,6,4,1,5,7
752,7,10,6,7,6
753,1,7,4,6,2
754,4,7,4,1,6
755,5,6,10,2,4
756,8,4,8,9,8
757,10,9,9,9,2
758,10,7,7,10,9
759,9,4,1,1,8
760,7,8,7,10,6
761,5,5,4,6,9
762,8,2,8,3,2
763,5,6,8,1,3
764,5,7,7,6,3
765,4,1,6,10,9
766,1,1,9,1,7
767,8,8,6,7,6
768,10,3,8,8,5
769,2,10,1,2,7
770,10,3,2,7,8
771,6,7,3,2,2
772,3,8,1,7,8
773,3,1,1,5,2
774,10,3,9,4,10
775,3,5,4,8,4
776,8,8,4,5,8
777,2,10,9,8,8
778,8,7,6,10,1
779,1,8,9,1,5
780,6,9,5,1,10
781,8,9,5,1,7
782,6,4,1,7,8
783,7,2,10,10,4
784,5,10,5,5,7
785,7,5,8,8,2
786,9,10,9,6,2
787,7,4,5,3,9
788,6,6,7,4,1
789,5,7,8,10,5
790,1,8,6,5,3
791,2,6,3,4,3
792,1,3,10,1,5
793,9,2,2,5,9
794,10,8,6,7,2
795,9,8,2,7,5
796,7,2,8,8,5
797,3,4,3,4,9
798,9,10,7,5,3
799,10,1,6,9,5
800,9,3,1,1,8
801,1,9,8,1,4
802,3,10,1,3,10
803,7,2,9,4,8
804,10,10,8,10,5
805,2,6,4,6,1
806,10,4,8,9,2
807,6,2,8,10,7
808,5,9,10,10,6
809,3,2,6,2,5
810,5,7,9,9,8
811,2,7,2,5,8
812,8,5,2,8,2
813,5,3,9,5,7
814,5,10,9,2,5
815,10,6,8,1,10
816,6,4,8,6,8
817,8,4,4,5,8
818,3,5,2,2,6
819,9,9,10,3,1
820,5,4,8,9,7
821,7,7,1,3,1
822,4,8,1,8,7
823,8,1,6,9,5
824,8,4,2,1,3
825,9,7,3,10,7
826,10,7,10,5,9
827,10,1,4,5,7
828,9,5,10,7,2
829,6,4,4,5,7
830,8,6,2,1,7
831,7,5,4,5,10
832,6,9,1,2,3
833,8,4,6,10,10
834,2,9,10,5,10
835,1,9,2,7,8
836,10,10,5,9,5
837,7,7,8,6,1
838,5,3,3,9,10
839,10,8,2,8,2
840,2,1,2,6,1
841,10,4,5,1,5
842,6,5,7,8,6
843,4,7,1,8,10
844,1,6,3,1,8
845,10,10,1,4,6
846,1,10,5,8,8
847,3,4,2,8,8
848,6,5,3,8,5
849,8,1,9,10,8
850,6,7,8,8,6
851,8,6,6,8,9
852,9,7,1,8,6
853,9,9,5,6,4
854,5,5,10,9,2
855,8,1,7,2,6
856,1,5,4,8,8
857,7,5,2,8,5
858,3,4,7,1,4
859,7,5,4,4,3
860,1,4,5,10,5
861,3,6,7,5,6
862,10,1,6,8,10
863,6,10,6,1,8
864,3,2,10,8,8
865,8,10,9,10,5
866,9,4,8,6,5
867,4,9,2,7,1
868,7,6,9,6,7
869,5,5,7,7,3
870,3,3,2,3,1
871,6,6,3,7,5
872,3,5,9,8,4
873,7,5,8,2,7
874,4,10,6,1,2
875,4,7,10,4,9
876,6,6,1,1,10
877,6,7,3,2,1
878,5,4,2,9,9
879,8,5,10,2,7
880,7,10,6,2,10
881,10,7,5,6,1
882,1,4,2,1,9
883,10,1,3,3,10
884,8,8,1,3,8
885,2,4,7,2,8
886,5,4,4,7,10
887,6,9,2,2,4
888,9,3,8,9,1
889,6,3,2,6,1
890,3,4,9,10,10
891,5,8,4,7,8
892,2,6,10,5,10
893,1,5,6,10,4
894,3,5,7,2,4
895,7,1,10,3,9
896,1,10,1,4,10
897,2,7,3,3,9
898,8,10,7,7,10
899,7,10,3,10,8
900,9,10,6,5,9
901,1,10,6,10,1
902,10,8,7,4,6
903,8,2,10,7,8
904,2,5,4,9,3
905,9,10,3,9,10
906,4,4,5,6,10
907,5,5,9,9,3
908,10,7,3,6,4
909,4,6,8,4,8
910,8,8,2,3,5
911,7,3,9,1,7
912,5,1,10,7,7
913,8,4,1,6,9
914,7,9,5,1,6
915,9,2,4,5,4
916,3,3,10,7,5
917,1,6,2,3,4
918,10,10,5,10,6
919,9,3,7,3,5
920,9,9,7,4,7
921,2,4,5,9,5
922,2,9,8,9,1
923,4,7,1,9,1
924,10,4,4,7,6
925,3,2,9,5,6
926,1,1,9,5,7
927,10,9,3,6,6
928,2,1,10,7,5
929,6,4,7,7,2
930,9,2,8,8,6
931,2,4,8,2,2
932,6,6,1,2,1
933,9,7,9,8,7
934,1,8,4,4,9
935,4,3,3,6,7
936,1,8,3,3,6
937,10,5,5,6,1
938,2,8,1,8,5
939,3,3,5,8,5
940,7,1,7,2,8
941,5,10,3,8,3
942,10,2,8,3,6
943,2,5,9,9,9
944,4,5,1,1,6
945,1,1,10,10,1
946,6,4,7,3,3
947,9,1,8,8,4
948,1,1,1,6,9
949,9,5,2,6,4
950,1,9,8,7,10
951,3,7,3,5,7
952,6,7,5,1,5
953,2,9,4,2,5
954,7,9,5,9,3
955,3,9,3,4,7
956,3,1,5,9,6
957,1,10,8,9,1
958,7,1,1,1,4
959,7,1,4,1,7
960,2,8,1,10,5
961,5,1,10,4,10
962,5,7,1,9,3
963,5,1,1,6,10
964,8,6,4,7,8
965,5,4,7,3,6
966,5,3,10,6,3
967,8,2,6,6,3
968,5,2,6,2,6
969,10,10,1,8,8
970,9,3,5,7,8
971,4,3,8,8,4
972,7,5,7,5,4
973,3,6,3,3,2
974,1,5,8,3,7
975,4,6,10,5,9
976,2,2,9,6,5
977,10,6,1,4,8
978,10,1,4,4,3
979,8,7,10,4,2
980,10,2,4,4,7
981,1,10,10,10,5
982,5,7,9,8,9
983,6,1,4,2,4
984,6,2,1,2,4
985,8,1,8,4,9
986,5,10,10,7,8
987,9,4,2,9,8
988,6,10,4,4,8
989,3,3,4,4,2
990,5,7,1,7,7
991,1,2,7,8,8
992,9,7,7,7,6
993,8,7,2,5,4
994,6,4,10,3,8
995,10,5,10,5,3
996,3,8,5,1,7
997,6,6,8,4,2
998,2,6,8,6,8
999,1,4,9,9,4
1000,8,5,5,2,4
