id,category0,category1,category2,category3,details,price,date
43,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_health,Деталі для staff tech insurance health,3049,2023-10-31
44,admin,admin_office,admin_office_rent,admin_office_rent_utilities,Деталі для admin office rent utilities,8158,2023-01-09
45,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_config,Деталі для infra telecom serv config,5499,2023-06-01
46,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_servers,Деталі для infra telecom purchase servers,5199,2023-09-11
47,support,support_tech,support_tech_update,support_tech_update_license,Деталі для support tech update license,1098,2023-06-02
48,extra,extra_security,extra_security_cyber,extra_security_cyber_monitoring,Деталі для extra security cyber monitoring,5433,2023-06-12
49,extra,extra_consult,extra_consult_info,extra_consult_info_research,Деталі для extra consult info research,6699,2024-02-02
50,extra,extra_it_outsource,extra_it_outsource_sys_mgmt,extra_it_outsource_sys_mgmt,Деталі для extra it outsource sys mgmt,5735,2023-02-02
51,admin,admin_market,admin_market_research,admin_market_research_surveys,Деталі для admin market research surveys,4446,2023-01-22
52,extra,extra_it_outsource,extra_it_outsource_infra_mgmt,extra_it_outsource_security,Деталі для extra it outsource security,1225,2023-10-04
53,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_antenna,Деталі для infra telecom purchase antenna,8996,2024-10-20
54,admin,admin_market,admin_market_research,admin_market_research_competitors,Деталі для admin market research competitors,8679,2023-01-17
55,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_print,Деталі для admin marketing ads print,4444,2024-06-01
56,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,3327,2023-12-15
57,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,4170,2023-04-26
58,extra,extra_consult,extra_consult_info,extra_consult_info_reviews,Деталі для extra consult info reviews,2184,2023-09-13
59,support,support_tech,support_tech_update,support_tech_update_license,Деталі для support tech update license,6854,2024-07-19
60,staff,staff_support,staff_support_bonus,staff_support_bonus_perf,Деталі для staff support bonus perf,4863,2024-09-17
61,staff,staff_support,staff_support_expenses,staff_support_expenses_meals,Деталі для staff support expenses meals,2409,2023-04-14
62,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,8343,2023-02-08
63,extra,extra_security,extra_security_guard,extra_security_guard_cameras,Деталі для extra security guard cameras,6986,2024-02-12
64,extra,extra_security,extra_security_guard,extra_security_guard_premises,Деталі для extra security guard premises,5780,2023-01-20
65,infra,infra_cable,infra_cable_maint,infra_cable_maint_preventive,Деталі для infra cable maint preventive,7002,2024-04-15
66,admin,admin_marketing,admin_marketing_events,admin_marketing_events_conferences,Деталі для admin marketing events conferences,1853,2023-02-20
67,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,2148,2023-05-30
68,staff,staff_admin,staff_admin_dev,staff_admin_dev_courses,Деталі для staff admin dev courses,5777,2023-02-23
69,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,4124,2024-07-25
70,admin,admin_office,admin_office_rent,admin_office_rent_parking,Деталі для admin office rent parking,1876,2023-12-16
71,support,support_client,support_client_equip,support_client_equip_computers,Деталі для support client equip computers,5465,2024-09-27
72,staff,staff_admin,staff_admin_salary,staff_admin_salary_base,Деталі для staff admin salary base,9311,2024-08-26
73,staff,staff_support,staff_support_bonus,staff_support_bonus_innov,Деталі для staff support bonus innov,9308,2023-05-07
74,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,1512,2023-04-06
75,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,4343,2023-07-08
76,extra,extra_security,extra_security_guard,extra_security_guard_alarm,Деталі для extra security guard alarm,9130,2023-03-17
77,staff,staff_support,staff_support_expenses,staff_support_expenses_meals,Деталі для staff support expenses meals,3744,2023-10-12
78,admin,admin_office,admin_office_rent,admin_office_rent_office,Деталі для admin office rent office,3141,2024-03-28
79,admin,admin_marketing,admin_marketing_events,admin_marketing_events_promos,Деталі для admin marketing events promos,8421,2023-12-23
80,staff,staff_admin,staff_admin_dev,staff_admin_dev_courses,Деталі для staff admin dev courses,3849,2023-06-29
81,staff,staff_admin,staff_admin_salary,staff_admin_salary_bonus,Деталі для staff admin salary bonus,5611,2023-01-16
82,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_pension,Деталі для staff tech insurance pension,1851,2024-10-25
83,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_online,Деталі для admin marketing ads online,5000,2024-03-02
84,extra,extra_it_outsource,extra_it_outsource_sys_mgmt,extra_it_outsource_sys_mgmt,Деталі для extra it outsource sys mgmt,4913,2023-02-12
85,admin,admin_office,admin_office_rent,admin_office_rent_utilities,Деталі для admin office rent utilities,4373,2023-09-10
86,support,support_tech,support_tech_repair,support_tech_repair_devices,Деталі для support tech repair devices,9967,2024-08-27
87,staff,staff_admin,staff_admin_dev,staff_admin_dev_certification,Деталі для staff admin dev certification,1417,2023-04-25
88,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_replace,Деталі для infra telecom modern replace,6745,2024-05-07
89,support,support_client,support_client_equip,support_client_equip_computers,Деталі для support client equip computers,8164,2024-11-06
90,staff,staff_tech,staff_tech_salary,staff_tech_salary_compensation,Деталі для staff tech salary compensation,2122,2024-07-01
91,staff,staff_tech,staff_tech_salary,staff_tech_salary_compensation,Деталі для staff tech salary compensation,8357,2023-02-06
92,admin,admin_office,admin_office_rent,admin_office_rent_office,Деталі для admin office rent office,3914,2023-09-30
93,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,2365,2024-02-01
94,support,support_client,support_client_training,support_client_training_courses,Деталі для support client training courses,8400,2023-03-17
95,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_optim,Деталі для infra telecom modern optim,5946,2024-05-20
96,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_legal,Деталі для extra consult outsourcing legal,6588,2024-04-28
97,extra,extra_it_outsource,extra_it_outsource_infra_mgmt,extra_it_outsource_infra_mgmt,Деталі для extra it outsource infra mgmt,2062,2023-04-19
98,extra,extra_security,extra_security_cyber,extra_security_cyber_data,Деталі для extra security cyber data,7541,2023-08-11
99,staff,staff_tech,staff_tech_salary,staff_tech_salary_compensation,Деталі для staff tech salary compensation,9924,2023-08-23
100,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,8241,2024-05-06
101,infra,infra_base,infra_base_rent,infra_base_rent_utilities,Деталі для infra base rent utilities,6293,2024-10-14
102,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_pension,Деталі для staff tech insurance pension,3681,2023-07-13
103,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_finance,Деталі для extra consult outsourcing finance,2365,2024-05-14
104,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_check,Деталі для infra telecom serv check,2324,2023-05-12
105,admin,admin_marketing,admin_marketing_events,admin_marketing_events_conferences,Деталі для admin marketing events conferences,2810,2024-03-20
106,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_tv,Деталі для admin marketing ads tv,9905,2024-06-14
107,support,support_client,support_client_training,support_client_training_workshops,Деталі для support client training workshops,4709,2023-02-27
108,admin,admin_office,admin_office_rent,admin_office_rent_office,Деталі для admin office rent office,4072,2024-01-22
109,extra,extra_security,extra_security_guard,extra_security_guard_alarm,Деталі для extra security guard alarm,2531,2024-01-04
110,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,1133,2023-02-27
111,admin,admin_office,admin_office_supplies,admin_office_supplies_paper,Деталі для admin office supplies paper,2852,2023-05-29
112,extra,extra_it_outsource,extra_it_outsource_infra_mgmt,extra_it_outsource_infra_mgmt,Деталі для extra it outsource infra mgmt,7190,2023-08-21
113,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,4584,2024-01-08
114,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,8114,2023-01-12
115,staff,staff_admin,staff_admin_dev,staff_admin_dev_courses,Деталі для staff admin dev courses,7819,2023-03-31
116,staff,staff_admin,staff_admin_dev,staff_admin_dev_courses,Деталі для staff admin dev courses,5835,2024-05-16
117,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,8891,2024-04-05
118,admin,admin_office,admin_office_rent,admin_office_rent_parking,Деталі для admin office rent parking,8714,2023-09-10
119,staff,staff_support,staff_support_bonus,staff_support_bonus_innov,Деталі для staff support bonus innov,2838,2024-03-25
120,staff,staff_admin,staff_admin_dev,staff_admin_dev_training,Деталі для staff admin dev training,6124,2023-04-29
121,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,9415,2023-08-27
122,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_servers,Деталі для infra telecom purchase servers,5158,2023-08-05
123,support,support_client,support_client_training,support_client_training_courses,Деталі для support client training courses,5000,2024-09-01
124,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_check,Деталі для infra telecom serv check,1404,2024-06-01
125,admin,admin_office,admin_office_rent,admin_office_rent_utilities,Деталі для admin office rent utilities,6989,2024-03-12
126,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_finance,Деталі для extra consult outsourcing finance,5178,2023-05-25
127,extra,extra_security,extra_security_guard,extra_security_guard_cameras,Деталі для extra security guard cameras,3048,2023-02-20
128,extra,extra_consult,extra_consult_info,extra_consult_info_reports,Деталі для extra consult info reports,5544,2024-05-02
129,staff,staff_support,staff_support_bonus,staff_support_bonus_achiev,Деталі для staff support bonus achiev,1249,2024-11-04
130,support,support_client,support_client_equip,support_client_equip_computers,Деталі для support client equip computers,2077,2023-08-24
131,extra,extra_security,extra_security_cyber,extra_security_cyber_data,Деталі для extra security cyber data,7544,2024-09-15
132,extra,extra_consult,extra_consult_info,extra_consult_info_reports,Деталі для extra consult info reports,5530,2023-04-13
133,admin,admin_marketing,admin_marketing_events,admin_marketing_events_expos,Деталі для admin marketing events expos,7241,2023-12-01
134,support,support_client,support_client_training,support_client_training_workshops,Деталі для support client training workshops,2331,2023-09-06
135,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_optim,Деталі для infra telecom modern optim,4177,2024-07-16
136,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,7327,2024-02-05
137,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_health,Деталі для staff tech insurance health,8941,2023-02-22
138,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_pension,Деталі для staff tech insurance pension,2906,2023-04-21
139,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_config,Деталі для infra telecom serv config,7090,2024-01-09
140,admin,admin_office,admin_office_rent,admin_office_rent_utilities,Деталі для admin office rent utilities,1666,2023-04-03
141,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_pension,Деталі для staff tech insurance pension,8570,2023-01-05
142,staff,staff_admin,staff_admin_salary,staff_admin_salary_bonus,Деталі для staff admin salary bonus,7981,2024-05-27
143,extra,extra_consult,extra_consult_info,extra_consult_info_reports,Деталі для extra consult info reports,3593,2023-03-19
144,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,7937,2023-09-06
145,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,3878,2023-02-17
146,extra,extra_consult,extra_consult_info,extra_consult_info_research,Деталі для extra consult info research,2276,2023-10-30
147,staff,staff_support,staff_support_bonus,staff_support_bonus_perf,Деталі для staff support bonus perf,1364,2024-10-27
148,support,support_tech,support_tech_repair,support_tech_repair_devices,Деталі для support tech repair devices,6122,2024-09-14
149,support,support_client,support_client_equip,support_client_equip_computers,Деталі для support client equip computers,4345,2024-05-20
150,support,support_client,support_client_training,support_client_training_courses,Деталі для support client training courses,6750,2024-04-29
151,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_online,Деталі для admin marketing ads online,2296,2023-08-19
152,staff,staff_admin,staff_admin_dev,staff_admin_dev_courses,Деталі для staff admin dev courses,7288,2024-06-08
153,admin,admin_office,admin_office_supplies,admin_office_supplies_cartridges,Деталі для admin office supplies cartridges,9258,2023-08-21
154,extra,extra_security,extra_security_guard,extra_security_guard_alarm,Деталі для extra security guard alarm,8943,2024-01-04
155,admin,admin_market,admin_market_research,admin_market_research_demand,Деталі для admin market research demand,3472,2024-09-04
156,admin,admin_marketing,admin_marketing_events,admin_marketing_events_expos,Деталі для admin marketing events expos,1876,2024-01-12
157,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,2733,2024-08-04
158,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_print,Деталі для admin marketing ads print,4735,2023-05-17
159,support,support_client,support_client_training,support_client_training_courses,Деталі для support client training courses,6342,2023-01-06
160,staff,staff_support,staff_support_bonus,staff_support_bonus_achiev,Деталі для staff support bonus achiev,9837,2023-04-28
161,infra,infra_cable,infra_cable_maint,infra_cable_maint_preventive,Деталі для infra cable maint preventive,6560,2023-07-13
162,support,support_tech,support_tech_update,support_tech_update_compat,Деталі для support tech update compat,7316,2023-10-27
163,extra,extra_security,extra_security_cyber,extra_security_cyber_monitoring,Деталі для extra security cyber monitoring,9915,2023-08-13
164,admin,admin_office,admin_office_supplies,admin_office_supplies_furniture,Деталі для admin office supplies furniture,3048,2023-03-31
165,extra,extra_security,extra_security_guard,extra_security_guard_alarm,Деталі для extra security guard alarm,7988,2023-09-16
166,infra,infra_cable,infra_cable_maint,infra_cable_maint_preventive,Деталі для infra cable maint preventive,1260,2024-10-11
167,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_print,Деталі для admin marketing ads print,2619,2023-11-17
168,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_legal,Деталі для extra consult outsourcing legal,2994,2024-07-03
169,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,2604,2023-11-14
170,admin,admin_marketing,admin_marketing_events,admin_marketing_events_promos,Деталі для admin marketing events promos,9567,2024-04-03
171,infra,infra_cable,infra_cable_maint,infra_cable_maint_diagnostics,Деталі для infra cable maint diagnostics,3560,2023-10-23
172,admin,admin_office,admin_office_supplies,admin_office_supplies_furniture,Деталі для admin office supplies furniture,7413,2023-10-18
173,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_hr,Деталі для extra consult outsourcing hr,8546,2023-03-19
174,staff,staff_admin,staff_admin_dev,staff_admin_dev_courses,Деталі для staff admin dev courses,2065,2023-03-30
175,staff,staff_support,staff_support_bonus,staff_support_bonus_perf,Деталі для staff support bonus perf,7943,2024-09-28
176,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_config,Деталі для infra telecom serv config,3712,2023-05-25
177,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_clean,Деталі для infra telecom serv clean,2997,2024-09-07
178,support,support_client,support_client_training,support_client_training_workshops,Деталі для support client training workshops,6765,2024-08-01
179,support,support_tech,support_tech_update,support_tech_update_compat,Деталі для support tech update compat,6742,2024-10-30
180,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,1419,2023-06-06
181,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,1950,2023-10-16
182,admin,admin_marketing,admin_marketing_events,admin_marketing_events_expos,Деталі для admin marketing events expos,5612,2024-09-26
183,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_life,Деталі для staff tech insurance life,7028,2023-06-08
184,admin,admin_office,admin_office_supplies,admin_office_supplies_furniture,Деталі для admin office supplies furniture,4228,2024-10-09
185,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_legal,Деталі для extra consult outsourcing legal,5225,2024-02-15
186,support,support_client,support_client_equip,support_client_equip_headsets,Деталі для support client equip headsets,3116,2024-10-21
187,support,support_tech,support_tech_update,support_tech_update_system,Деталі для support tech update system,7166,2023-12-12
188,support,support_tech,support_tech_update,support_tech_update_license,Деталі для support tech update license,8783,2023-07-29
189,infra,infra_base,infra_base_repair,infra_base_repair_parts,Деталі для infra base repair parts,4531,2023-12-22
190,admin,admin_office,admin_office_supplies,admin_office_supplies_paper,Деталі для admin office supplies paper,6959,2023-05-07
191,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_pension,Деталі для staff tech insurance pension,7024,2023-02-20
192,extra,extra_security,extra_security_cyber,extra_security_cyber_antivirus,Деталі для extra security cyber antivirus,4797,2024-02-11
193,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,4417,2024-09-13
194,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_online,Деталі для admin marketing ads online,4072,2024-07-20
195,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,8112,2023-11-05
196,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,5212,2024-10-27
197,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_check,Деталі для infra telecom serv check,2625,2023-03-16
198,staff,staff_support,staff_support_bonus,staff_support_bonus_achiev,Деталі для staff support bonus achiev,9609,2023-12-13
199,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_config,Деталі для infra telecom serv config,2205,2024-10-25
200,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_replace,Деталі для infra telecom modern replace,6975,2023-06-10
201,infra,infra_base,infra_base_repair,infra_base_repair_parts,Деталі для infra base repair parts,5757,2024-10-27
202,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_online,Деталі для admin marketing ads online,1966,2023-03-25
203,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,9533,2024-04-20
204,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_legal,Деталі для extra consult outsourcing legal,2759,2023-05-21
205,support,support_client,support_client_equip,support_client_equip_software,Деталі для support client equip software,3079,2024-10-31
206,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_legal,Деталі для extra consult outsourcing legal,9477,2023-05-24
207,support,support_tech,support_tech_repair,support_tech_repair_diagnosis,Деталі для support tech repair diagnosis,6490,2023-06-24
208,staff,staff_admin,staff_admin_dev,staff_admin_dev_courses,Деталі для staff admin dev courses,6797,2024-10-05
209,infra,infra_base,infra_base_repair,infra_base_repair_parts,Деталі для infra base repair parts,5873,2024-04-02
210,support,support_tech,support_tech_update,support_tech_update_license,Деталі для support tech update license,1054,2024-04-20
211,staff,staff_support,staff_support_expenses,staff_support_expenses_transport,Деталі для staff support expenses transport,6954,2024-03-18
212,extra,extra_security,extra_security_guard,extra_security_guard_alarm,Деталі для extra security guard alarm,4300,2024-08-01
213,support,support_client,support_client_equip,support_client_equip_software,Деталі для support client equip software,8970,2023-04-06
214,support,support_tech,support_tech_update,support_tech_update_license,Деталі для support tech update license,7612,2023-01-07
215,staff,staff_support,staff_support_expenses,staff_support_expenses_travel,Деталі для staff support expenses travel,5242,2024-09-15
216,extra,extra_it_outsource,extra_it_outsource_infra_mgmt,extra_it_outsource_infra_mgmt,Деталі для extra it outsource infra mgmt,5177,2024-05-28
217,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_modules,Деталі для infra telecom purchase modules,5841,2024-01-21
218,support,support_client,support_client_training,support_client_training_courses,Деталі для support client training courses,1804,2023-09-13
219,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,6619,2024-05-20
220,admin,admin_office,admin_office_supplies,admin_office_supplies_cartridges,Деталі для admin office supplies cartridges,3679,2023-02-28
221,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,3573,2024-06-04
222,staff,staff_tech,staff_tech_salary,staff_tech_salary_compensation,Деталі для staff tech salary compensation,8368,2023-10-05
223,support,support_tech,support_tech_update,support_tech_update_system,Деталі для support tech update system,9633,2023-01-29
224,extra,extra_security,extra_security_guard,extra_security_guard_premises,Деталі для extra security guard premises,1074,2023-05-26
225,extra,extra_security,extra_security_cyber,extra_security_cyber_antivirus,Деталі для extra security cyber antivirus,8184,2024-11-07
226,infra,infra_cable,infra_cable_maint,infra_cable_maint_diagnostics,Деталі для infra cable maint diagnostics,9041,2023-12-08
227,extra,extra_it_outsource,extra_it_outsource_sys_mgmt,extra_it_outsource_tech_support,Деталі для extra it outsource tech support,1645,2023-06-17
228,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,9646,2024-02-05
229,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_life,Деталі для staff tech insurance life,3681,2024-07-11
230,staff,staff_admin,staff_admin_salary,staff_admin_salary_base,Деталі для staff admin salary base,3866,2023-10-19
231,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,4850,2023-10-23
232,support,support_tech,support_tech_update,support_tech_update_license,Деталі для support tech update license,9378,2023-08-15
233,staff,staff_support,staff_support_expenses,staff_support_expenses_meals,Деталі для staff support expenses meals,7212,2023-11-08
234,infra,infra_cable,infra_cable_maint,infra_cable_maint_diagnostics,Деталі для infra cable maint diagnostics,2762,2023-09-01
235,support,support_client,support_client_equip,support_client_equip_software,Деталі для support client equip software,7122,2024-04-26
236,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,3120,2023-10-23
237,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,2639,2023-02-11
238,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_config,Деталі для infra telecom serv config,2252,2023-04-18
239,admin,admin_market,admin_market_research,admin_market_research_demand,Деталі для admin market research demand,5197,2024-06-07
240,support,support_client,support_client_equip,support_client_equip_software,Деталі для support client equip software,5090,2023-01-17
241,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,8982,2023-01-12
242,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,2750,2024-04-29
243,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,4993,2024-05-03
244,extra,extra_security,extra_security_guard,extra_security_guard_cameras,Деталі для extra security guard cameras,5806,2024-02-05
245,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_life,Деталі для staff tech insurance life,1390,2023-12-01
246,extra,extra_it_outsource,extra_it_outsource_sys_mgmt,extra_it_outsource_tech_support,Деталі для extra it outsource tech support,9007,2024-05-12
247,support,support_client,support_client_training,support_client_training_workshops,Деталі для support client training workshops,4294,2024-01-07
248,support,support_tech,support_tech_repair,support_tech_repair_diagnosis,Деталі для support tech repair diagnosis,1614,2023-09-30
249,support,support_tech,support_tech_update,support_tech_update_license,Деталі для support tech update license,1130,2023-06-20
250,staff,staff_support,staff_support_expenses,staff_support_expenses_travel,Деталі для staff support expenses travel,8694,2024-05-11
